Gene,y,x
Aldoc,320.939705147641,12977.8583287024
Nrn1,416.939705147641,12977.8583287024
Aldoc,789.939705147641,12977.8583287024
Plp1,1355.93970514764,12977.8583287024
Neurod6,1486.93970514764,12977.8583287024
Pcp4,1533.93970514764,12977.8583287024
Pde1a,1583.93970514764,12977.8583287024
Nrn1,1298.93970514764,12978.8583287024
Cadps2,1303.93970514764,12978.8583287024
Synpr,1493.93970514764,12978.8583287024
Cplx2,488.939705147641,12979.8583287024
Synpr,844.939705147641,12979.8583287024
Lhx6,1034.93970514764,12979.8583287024
Th,1086.93970514764,12979.8583287024
Sncg,1606.93970514764,12979.8583287024
Snca,1820.9397051476399,12979.8583287024
Cnr1,1990.9397051476399,12979.8583287024
Rgs4,873.939705147641,12980.8583287024
Sst,1124.93970514764,12980.8583287024
Reln,1524.93970514764,12980.8583287024
Pcp4,1800.9397051476399,12980.8583287024
Pcp4,1601.93970514764,12981.8583287024
Pde1a,1629.93970514764,12981.8583287024
Cxcl14,1767.9397051476399,12981.8583287024
Plp1,536.939705147641,12982.8583287024
Rgs4,910.939705147641,12982.8583287024
Aldoc,1100.93970514764,12982.8583287024
Serpini1,1219.93970514764,12982.8583287024
Snca,1247.93970514764,12982.8583287024
Rgs4,1499.93970514764,12982.8583287024
Snca,1780.9397051476399,12983.8583287024
Nrn1,670.939705147641,12984.8583287024
Cxcl14,782.939705147641,12984.8583287024
Aldoc,1514.93970514764,12984.8583287024
Bcl11b,1826.9397051476399,12984.8583287024
Nrn1,1833.9397051476399,12984.8583287024
Cplx2,328.939705147641,12985.8583287024
Nrn1,504.939705147641,12985.8583287024
Lamp5,852.939705147641,12985.8583287024
Aldoc,1923.9397051476399,12985.8583287024
Cxcl14,323.939705147641,12986.8583287024
Gad1,411.939705147641,12986.8583287024
Trp53i11,497.939705147641,12986.8583287024
Cck,869.939705147641,12986.8583287024
Reln,1353.93970514764,12986.8583287024
Reln,1366.93970514764,12986.8583287024
Cplx2,303.939705147641,12987.8583287024
Id2,309.939705147641,12987.8583287024
Cxcl14,789.939705147641,12987.8583287024
Lamp5,1340.93970514764,12987.8583287024
Aldoc,434.939705147641,12989.8583287024
