Cell_Num	X	Y	Genenames	CellGeneCount	ClassName	Prob
0	9.0	783.0	['Cryab', 'Neurod6']	[0.005708260597746324, 0.002129560278769201]	['Astro.5', 'Endo', 'Eryth.1', 'Microglia.1', 'Microglia.2', 'Vsmc', 'Zero']	[0.0011042791675490973, 0.003739396528517637, 0.005582160734740619, 0.006934841543061107, 0.008559778423310729, 0.006434579547143946, 0.9645954619448777]
1	9.0	920.0	['3110035E14Rik', 'Enpp2', 'Id2', 'Rgs4', 'Slc6a1']	[0.002734754660483365, 0.009928223693837543, 0.03372484424492327, 0.9794781540527595, 0.9895043869268166]	['Astro.1', 'Astro.2', 'Astro.5', 'Endo', 'Eryth.1', 'Microglia.1', 'Microglia.2', 'Vsmc', 'Zero']	[0.0013434670334346293, 0.001379540964251286, 0.0014762105779986207, 0.014344686939666111, 0.005114989645972388, 0.007056982968627543, 0.008350074285664477, 0.01625721420141668, 0.9413173524621938]
2	9.0	954.0	['Cryab', 'Enpp2', 'Plp1', 'Pvalb', 'Sst']	[0.05109874518421264, 0.016776473402774324, 1.096285510557311, 0.0688909284735873, 0.012527347903458823]	['Astro.1', 'Astro.2', 'Astro.3', 'Astro.4', 'Astro.5', 'Endo', 'Eryth.1', 'Eryth.2', 'Microglia.1', 'Microglia.2', 'Oligo.5', 'Vsmc', 'Zero']	[0.003584522018420169, 0.0024985290066475846, 0.0011690547196894802, 0.0018893398893408246, 0.0060880032454309575, 0.011058436688540276, 0.024534609499904884, 0.014539114465987126, 0.015992432526146162, 0.01584525255456844, 0.00102673595490327, 0.014397287281146764, 0.8822064477866658]
3	10.0	1119.0	['6330403K07Rik', 'Aldoc', 'Gad1', 'Id2', 'Npy', 'Rorb']	[0.9908984411916855, 0.00272998497904777, 2.9749516916065097, 0.9833646563310984, 2.945900597854092, 0.003627504775432682]	['Astro.1', 'Astro.3', 'Cacna2d1.Lhx6.Reln', 'Cacna2d1.Lhx6.Vwa5a', 'Cacna2d1.Ndnf.Cxcl14', 'Cacna2d1.Ndnf.Npy', 'Cacna2d1.Ndnf.Rgs10', 'Calb2.Cntnap5a.Igfbp6', 'Calb2.Cntnap5a.Rspo3', 'Calb2.Cntnap5a.Vip', 'Calb2.Cryab', 'Calb2.Vip.Gpd1', 'Calb2.Vip.Igfbp4', 'Calb2.Vip.Nos1', 'Endo', 'Microglia.1', 'Microglia.2', 'Ntng1.Rgs10', 'Pvalb.C1ql1.Cpne5', 'Pvalb.C1ql1.Npy', 'Pvalb.Tac1.Nr4a2', 'Pvalb.Tac1.Sst', 'Sst.Erbb4.Rgs10', 'Sst.Erbb4.Th', 'Sst.Npy.Mgat4c', 'Sst.Npy.Zbtb20', 'Sst.Pnoc.Pvalb', 'Vip.Crh.C1ql1', 'Vsmc', 'Zero']	[0.0010177542143972801, 0.0023801888161528967, 0.01841168318645491, 0.0029766512894879994, 0.11297484697871, 0.01490429086160725, 0.4029117942202931, 0.11199350666691299, 0.011045320793984, 0.005672088901102421, 0.002764118504392214, 0.003462133837875617, 0.006081046397163203, 0.0026837502935736493, 0.0022067033888498746, 0.0038643072743818744, 0.002085759253516107, 0.002234099559672253, 0.003864580161831682, 0.05480827222036513, 0.020015352778903484, 0.02099008465226155, 0.02245184951681308, 0.013192998661961957, 0.0011952083224644988, 0.001100757948774113, 0.001097426247335628, 0.003861052402521228, 0.002456557102213268, 0.14003823811137853]
4	10.0	1259.0	['3110035E14Rik', 'Cplx2', 'Id2', 'Plp1']	[0.001268001882512087, 0.944206307088494, 0.9867490673136822, 1.9853004534406045]	['Astro.1', 'Astro.2', 'Astro.3', 'Astro.4', 'Astro.5', 'Endo', 'Eryth.1', 'Eryth.2', 'Microglia.1', 'Microglia.2', 'Oligo.5', 'PC.CA1.1', 'Vsmc', 'Zero']	[0.016286024463619198, 0.007004256271055756, 0.0052079100512270006, 0.0094214189344324, 0.02693878092174799, 0.03489228517540427, 0.07792048865295811, 0.06512786109162688, 0.05786318662052195, 0.03446007529867849, 0.002926002417912342, 0.001709008986107391, 0.02704841509329397, 0.6289123271031627]
5	10.0	743.0	['6330403K07Rik', 'Cryab', 'Enpp2', 'Kctd12', 'Neurod6', 'Plp1']	[0.009318508405306352, 0.9553616521021713, 2.0005268337337023, 0.019715378614584753, 0.9775670118663196, 11.116537472191224]	['Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.09042181535653433, 0.1639352606739784, 0.01970004921531049, 0.053780331398888576, 0.3913633660821198, 0.2807989763579713]
6	10.0	1005.0	['Aldoc', 'Arpp21', 'Cryab', 'Cxcl14', 'Enpp2', 'Id2', 'Plp1', 'Sulf2']	[0.4885215554833256, 0.01941075249812505, 2.0719109394184803, 0.03740411874668471, 2.979621785555517, 0.04002261621158867, 10.908460079352933, 0.9882143093315859]	['Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.0053920067472479705, 0.41757338307323927, 0.04134239365704923, 0.0702984394229504, 0.2880872856015942, 0.1773064891842356]
7	11.0	973.0	['Aldoc', 'Cryab', 'Cxcl14', 'Enpp2', 'Id2', 'Plp1', 'Pvalb', 'Sst']	[0.05817984068783276, 2.0313353355616437, 0.9425035868892788, 1.9798550358556202, 0.9234901576303036, 11.124206736606036, 0.07928008453543389, 0.13643885978334927]	['Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.011682501394374099, 0.17480218461612676, 0.04858977763983938, 0.08554194404628204, 0.4418071701327386, 0.2375764178634993]
8	16.0	1169.0	['Aldoc', 'Gad1', 'Id2', 'Npy', 'Plp1', 'Rorb', 'Satb1', 'Zcchc12']	[0.9057935202737036, 0.0017621315606360006, 2.962505072227719, 0.002642961392666011, 0.7256831495464603, 0.9158549635297454, 0.9905584822627431, 0.9945036829571361]	['Astro.1', 'Astro.2', 'Astro.3', 'Astro.4', 'Astro.5', 'Endo', 'Eryth.1', 'Eryth.2', 'Microglia.1', 'Microglia.2', 'Vsmc', 'Zero']	[0.08214298863803238, 0.1786296885405101, 0.20787059821320697, 0.15983475026124508, 0.08337978413565512, 0.020375849940779404, 0.0030408155910941473, 0.0017175730939678541, 0.048105253608221994, 0.011825785643597214, 0.005852727714378093, 0.1948995412618759]
9	24.0	1221.0	['Cplx2', 'Cryab', 'Fam19a1', 'Fos', 'Id2', 'Plcxd2', 'Rprm']	[0.010988282253846866, 0.9512720424662794, 0.9314745971271798, 0.9580989678431265, 1.7564732085362287, 0.9533715472783512, 0.9925991972790619]	['Astro.1', 'Astro.2', 'Astro.3', 'Astro.4', 'Astro.5', 'Endo', 'Eryth.1', 'Eryth.2', 'Microglia.1', 'Microglia.2', 'Vsmc', 'Zero']	[0.006656120525779867, 0.011989410072718016, 0.009926878463499746, 0.0060389391625283615, 0.008123315826179119, 0.053395816552937625, 0.0038821484775556536, 0.0010783200703366406, 0.049453911620463614, 0.02166081381114713, 0.022883561046158147, 0.8035630975449187]
10	24.0	605.0	['6330403K07Rik']	[0.9917715947879425]	['Astro.1', 'Astro.2', 'Astro.3', 'Astro.5', 'Endo', 'Eryth.1', 'Microglia.1', 'Microglia.2', 'Vsmc', 'Zero']	[0.0018721548537579714, 0.0014367465189426077, 0.0012110355573334303, 0.002532484438955831, 0.004488757021543343, 0.006074228853433615, 0.007529825623335054, 0.008943096120734711, 0.007066227071430924, 0.954283680978925]
11	31.0	1116.0	['Gad1', 'Id2', 'Plp1']	[0.0010737299225255024, 0.003806374514581076, 0.9901938874854549]	['Astro.1', 'Astro.2', 'Astro.5', 'Endo', 'Eryth.1', 'Eryth.2', 'Microglia.1', 'Microglia.2', 'Vsmc', 'Zero']	[0.0019970810249715443, 0.0014162669700037692, 0.0037163421498983, 0.008763366212579282, 0.02211359603196302, 0.0056165539179042654, 0.015229668596023567, 0.01581168841107965, 0.013091104457339115, 0.909266439665388]
12	33.0	835.0	['Pde1a', 'Plp1']	[0.9911302023734777, 16.997599887390773]	['Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.3243155798825892, 0.03729952340851414, 0.002292898062992267, 0.013344637506736812, 0.19136228387692444, 0.43138506710108027]
13	38.0	741.0	['6330403K07Rik', 'Cryab', 'Enpp2', 'Kctd12', 'Neurod6', 'Plp1']	[0.9833767378158172, 0.1578852969711797, 0.9594833831525955, 0.9676247337831945, 0.002459822843369906, 4.873667519196777]	['Astro.5', 'Endo', 'Eryth.1', 'Eryth.2', 'Microglia.1', 'Oligo.1', 'Oligo.3', 'Oligo.4', 'Oligo.5', 'Vsmc', 'Zero']	[0.0021564845430792653, 0.0014752900202149699, 0.02062084490060064, 0.7851284623347672, 0.0019351219676934086, 0.014360749894303306, 0.0041364196558651865, 0.05669599059519446, 0.10743485523968085, 0.001203923010887407, 0.002274791207222935]
14	41.0	1187.0	['Cryab', 'Id2', 'Kctd12', 'Plp1']	[0.972794949292476, 0.0010837826828479467, 0.9941697948112692, 5.2667859137727175]	['Eryth.1', 'Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.003987789802107225, 0.6986224080745872, 0.013689173824580207, 0.0011893849643960827, 0.00594860984192902, 0.08068104308870645, 0.19392164251028793]
15	42.0	1274.0	['3110035E14Rik', 'Cck', 'Cplx2', 'Enpp2', 'Fam19a1', 'Id2', 'Plp1', 'Pvalb', 'Rgs4']	[1.9397950238377661, 0.8904974929941456, 0.1577460852228333, 1.9848996661924296, 1.8188306178754332, 3.9464188033796614, 14.561805618996443, 0.9849743014489637, 0.875500990522102]	['Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.0384329406373321, 0.0408700579481748, 0.0041764559642225385, 0.002208599682197485, 0.029361574428307866, 0.8849503433608852]
16	44.0	675.0	['Cadps2', 'Id2', 'Prkca', 'Pvalb']	[0.8945184810082215, 0.004704495216789886, 0.0023970324609382454, 0.8639352907742984]	['Astro.1', 'Astro.2', 'Astro.5', 'Calb2.Cntnap5a.Igfbp6', 'Endo', 'Eryth.1', 'Microglia.1', 'Microglia.2', 'Pvalb.Tac1.Nr4a2', 'Vsmc', 'Zero']	[0.0018457708045485823, 0.0016809047351811154, 0.0022174585541139967, 0.0010095239907543035, 0.005583177305488104, 0.0071266243983566695, 0.008403880522391738, 0.009878542147487025, 0.0011432572952161646, 0.008116096516278221, 0.9465020029763466]
