cell_id,label,area,x,y
0,1,1128,1227,3601
1,2,1384,7361,4209
2,3,792,6014,4474
3,4,1625,1063,2159
4,5,795,6422,2933
5,6,2081,3678,3875
6,7,1234,5440,4778
7,8,1098,6043,4994
8,9,984,5413,4664
9,10,278,4299,4947
10,11,1252,227,591
11,12,1158,5036,4461
12,13,209,6796,4165
13,14,1357,3705,4767
14,15,1257,6865,3283
15,16,1877,2553,4656
16,17,1824,1726,3458
17,18,1183,791,2979
18,19,1262,805,2583
19,20,1025,3491,3013
20,21,832,1982,4409
21,22,1379,2645,4150
22,23,1115,6874,4209
23,24,1164,2720,4971
24,25,399,6217,4221
25,26,1462,5509,4746
26,27,760,2562,4008
27,28,1129,6395,4679
28,29,1329,5949,5132
29,30,357,6091,4460
30,31,317,4377,5339
31,32,2425,2950,4420
32,33,624,845,1815
33,34,2017,1005,1736
34,35,1201,639,2141
35,36,1141,896,1837
36,37,1255,829,3121
37,38,1116,6243,4133
38,39,1399,5713,4601
39,40,1010,6698,4664
40,41,1209,5647,4725
41,42,1156,6524,4583
42,43,254,6213,4203
43,44,659,5407,5370
44,45,591,5992,3711
45,46,1875,4237,5107
46,47,533,3005,3987
47,48,1680,5340,4858
48,49,386,3114,3034
49,50,989,4352,3588
50,51,1077,1805,3490
51,52,362,778,918
52,53,1678,2883,4322
53,54,1194,3375,4389
54,55,969,2891,2459
55,56,736,4969,4959
56,57,1184,5755,4379
57,58,1695,2378,4041
58,59,647,2570,4799
59,60,1098,968,1950
60,61,450,3519,4566
61,62,2943,1257,3728
62,63,350,2508,4590
63,64,350,6463,4303
64,65,450,6744,3326
65,66,829,6755,3877
66,67,463,2760,3052
67,68,293,1628,3225
68,69,1202,4121,3794
69,70,1121,968,2137
70,71,1427,2361,4106
71,72,235,878,1527
72,73,631,5971,3063
73,74,1013,6745,3277
74,75,1616,6816,3622
75,76,1138,6284,5024
76,77,305,2964,4968
77,78,341,5921,3274
78,79,442,4125,3684
79,80,984,2374,3020
80,81,1064,6411,3935
81,82,3079,1619,3293
82,83,1479,7002,3351
83,84,962,10,1005
84,85,487,5951,5243
85,86,1465,4232,5365
86,87,359,6906,3444
87,88,1501,4266,3928
88,89,1036,4354,3920
89,90,998,1946,3731
90,91,1135,3736,4792
91,92,918,5166,5392
92,93,1236,3500,4604
93,94,1242,6210,3411
94,95,1042,3110,2823
95,96,3415,2984,5067
96,97,1985,3199,5143
97,98,1410,219,248
98,99,1270,2119,2665
99,100,2603,1286,2639
100,101,256,1630,4169
101,102,1051,90,463
102,103,888,401,2295
103,104,297,2676,4949
104,105,557,6077,3470
105,106,1267,1994,3599
106,107,1203,4098,3820
107,108,1550,5379,5094
108,109,682,5695,5277
109,110,591,1373,3626
110,111,519,5297,4773
111,112,1211,6328,4703
112,113,1286,6056,4382
113,114,290,2579,4192
114,115,205,6227,4199
115,116,1040,2503,2593
116,117,599,5522,4957
117,118,701,5393,3833
118,119,619,1698,4274
119,120,1049,50,436
120,121,1050,231,395
121,122,1341,1789,3407
122,123,575,3425,3287
123,124,1241,4528,5407
124,125,433,4916,5037
125,126,1185,2689,3307
126,127,1395,5809,4205
127,128,954,1172,2465
128,129,982,1412,2905
129,130,1143,4377,3562
130,131,1043,1944,3009
131,132,1292,1075,2091
132,133,276,1910,3560
133,134,1055,4451,4700
134,135,1368,6251,4168
135,136,874,3865,3385
136,137,899,1497,3918
137,138,226,1332,2671
138,139,1189,6508,3319
139,140,1114,4974,4896
140,141,420,1365,1217
141,142,346,3885,4791
142,143,1130,6567,3221
143,144,1073,2395,4113
144,145,2270,924,1728
145,146,1457,2448,3722
146,147,1026,2442,3137
147,148,1376,2989,5114
148,149,1333,5527,3683
149,150,508,4505,5235
150,151,1366,6982,4443
151,152,1279,1673,3282
152,153,924,3948,5327
153,154,344,2534,3563
154,155,1095,1871,2392
155,156,286,2493,4087
156,157,1273,6828,4038
157,158,994,1009,3179
158,159,379,809,1556
159,160,1122,2513,3575
160,161,1105,160,1477
161,162,228,902,1509
162,163,1357,2753,2982
163,164,1997,1828,1600
164,165,1195,812,3091
165,166,1340,38,741
166,167,1487,6146,4258
167,168,1801,3487,4664
168,169,818,5679,5026
169,170,967,6511,4078
170,171,1146,1734,4074
171,172,367,1107,2211
172,173,1119,5681,3687
173,174,1129,137,662
174,175,644,346,2103
175,176,1303,6677,2894
176,177,723,3206,5098
177,178,1395,2194,3870
178,179,1249,719,1326
179,180,1148,6496,3627
180,181,1189,4807,5206
181,182,1601,7094,3837
182,183,936,2641,2294
183,184,1145,5719,4869
184,185,1491,6026,4582
185,186,1411,4977,3623
186,187,1279,4879,4969
187,188,1531,6493,4005
188,189,388,761,2671
189,190,1092,4442,4465
190,191,1391,2411,4084
191,192,301,6169,4013
192,193,1280,2228,3646
193,194,1798,2502,4019
194,195,1086,2089,2386
195,196,1023,3482,3113
196,197,286,5084,4865
197,198,518,4095,4307
198,199,256,6559,3681
199,200,278,6262,3672
200,201,216,5004,3633
201,202,619,2657,3972
202,203,1279,1878,3287
203,204,1426,3177,3226
204,205,1399,6578,3907
205,206,1080,5997,4138
206,207,1568,826,1318
207,208,1320,6332,3391
208,209,1109,1286,3625
209,210,210,1859,3511
210,211,404,845,1373
211,212,352,1102,3371
212,213,337,5293,3666
213,214,953,5919,3364
214,215,1174,364,2089
215,216,228,2862,4374
216,217,347,2851,4826
217,218,315,4898,3980
218,219,1305,1820,3566
219,220,1583,661,2841
220,221,1145,3280,4888
221,222,1565,1638,3763
222,223,1086,2931,4471
223,224,1293,1498,3105
224,225,1424,2015,3429
225,226,1798,1614,3186
226,227,1631,5596,4661
227,228,799,3270,3151
228,229,1221,5903,4494
229,230,211,5858,4453
230,231,840,2830,2560
231,232,1193,1292,3838
232,233,1108,4459,4660
233,234,433,2349,2595
234,235,490,2743,2442
235,236,1217,2192,3785
236,237,1066,2248,3933
237,238,1017,5220,3976
238,239,482,1032,2458
239,240,1210,7054,4427
240,241,669,780,1541
241,242,1766,3850,4349
242,243,356,6227,4665
243,244,1627,4338,4082
244,245,1121,4852,3913
245,246,1305,1435,1829
246,247,335,1382,3070
247,248,1273,6167,4984
248,249,1683,745,2828
249,250,1936,2461,2294
250,251,956,3720,5191
251,252,1939,652,1551
252,253,333,1404,2809
253,254,320,4082,4562
254,255,1589,1696,3250
255,256,1308,1309,2764
256,257,406,7446,4256
257,258,519,5437,3713
258,259,755,5553,5247
259,260,777,217,95
260,261,1453,6491,4881
261,262,1762,6850,3678
262,263,1264,2899,3536
263,264,929,1373,3796
264,265,1265,4111,4784
265,266,624,4307,4923
266,267,1001,3439,4965
267,268,1501,1071,3278
268,269,1218,1781,3447
269,270,326,6337,3829
270,271,337,2523,4237
271,272,202,1132,2291
272,273,2178,5656,4596
273,274,1669,1781,3345
274,275,1142,1893,3546
275,276,1777,6708,3680
276,277,1161,1057,3367
277,278,406,5413,4712
278,279,236,5496,4251
279,280,1202,256,306
280,281,1661,1480,1345
281,282,1236,2417,4355
282,283,1904,843,1978
283,284,1823,1402,3947
284,285,1785,5164,4765
285,286,1112,2899,2908
286,287,235,5059,4883
287,288,781,1423,3026
288,289,510,310,1730
289,290,241,170,712
290,291,1514,3556,4414
291,292,1104,3935,4829
292,293,272,2052,3710
293,294,1320,979,2745
294,295,922,1567,3171
295,296,1089,745,1951
296,297,408,3908,4533
297,298,2086,5752,4612
298,299,1769,3195,3338
299,300,656,3014,4454
300,301,511,1205,3655
301,302,923,1172,3548
302,303,588,1777,4240
303,304,1346,6700,3727
304,305,874,3917,3378
305,306,787,204,123
306,307,306,4341,4954
307,308,322,1680,2766
308,309,926,1952,1762
309,310,1617,2980,4717
310,311,1185,2750,4864
311,312,1551,6173,4406
312,313,1359,6342,4107
313,314,1454,5632,4688
314,315,710,4325,4941
315,316,1448,2538,4127
316,317,1267,5023,4805
317,318,1799,2297,3867
318,319,1182,4001,4810
319,320,271,485,1353
320,321,1263,1859,4270
321,322,375,3483,3365
322,323,1472,3203,4494
323,324,1572,6457,3927
324,325,1022,3538,5127
325,326,1999,2720,4351
326,327,1285,1491,3156
327,328,958,1067,1910
328,329,1070,454,663
329,330,1702,1066,2212
330,331,241,826,1833
331,332,1760,6292,5057
332,333,546,3278,3865
333,334,1225,2283,3818
334,335,1830,3776,3991
335,336,634,5792,3747
336,337,1092,6846,4335
337,338,1027,5477,5224
338,339,1439,3215,4448
339,340,1629,737,2882
340,341,403,731,772
341,342,1227,6573,3658
342,343,1220,3210,3719
343,344,1115,5770,4576
344,345,209,1504,3133
345,346,1240,1033,2683
346,347,1234,1806,3367
347,348,1758,3975,4757
348,349,448,6034,4215
349,350,1748,733,1646
350,351,659,185,1431
351,352,1149,3048,2955
352,353,960,2179,4648
353,354,268,819,987
354,355,821,481,798
355,356,1244,4367,4934
356,357,978,4288,4714
357,358,1307,1425,2739
358,359,1306,5743,4498
359,360,249,844,1832
360,361,2177,4225,4586
361,362,235,2211,3809
362,363,864,1853,3604
363,364,999,6746,3467
364,365,802,4215,4876
365,366,2456,6225,2965
366,367,1117,1271,1773
367,368,1122,3090,3121
368,369,886,1429,2652
369,370,1200,6430,3723
370,371,311,382,2317
371,372,392,2486,4255
372,373,296,941,2137
