x_global,y_global,label,target,x_cell,y_cell
0,730,1.0,Enpp2,10.308868501529052,743.7349643221203
0,954,10.0,Plp1,9.82,954.2733333333333
0,987,5.0,Id2,10.737006237006238,1005.2661122661123
0,1020,5.0,Plp1,10.737006237006238,1005.2661122661123
0,1061,0.0,Npy,,
1,728,1.0,Plp1,10.308868501529052,743.7349643221203
1,741,1.0,Plp1,10.308868501529052,743.7349643221203
2,907,3.0,Rgs4,9.772245762711865,920.2733050847457
2,1018,5.0,Sulf2,10.737006237006238,1005.2661122661123
2,1026,5.0,Plp1,10.737006237006238,1005.2661122661123
2,1127,6.0,Npy,10.158573596358119,1119.6479514415782
2,1141,6.0,Npy,10.158573596358119,1119.6479514415782
2,1209,8.0,Id2,24.919372900335947,1221.2631578947369
3,963,4.0,Plp1,11.432246998284734,973.3053173241852
4,1014,5.0,Enpp2,10.737006237006238,1005.2661122661123
4,1021,5.0,Cryab,10.737006237006238,1005.2661122661123
4,1218,8.0,Fam19a1,24.919372900335947,1221.2631578947369
4,1254,9.0,Plp1,10.207219251336898,1259.7994652406417
4,1272,9.0,Plp1,10.207219251336898,1259.7994652406417
5,743,1.0,Plp1,10.308868501529052,743.7349643221203
5,756,1.0,Plp1,10.308868501529052,743.7349643221203
5,1004,5.0,Plp1,10.737006237006238,1005.2661122661123
5,1142,6.0,Npy,10.158573596358119,1119.6479514415782
5,1149,6.0,Rorb,10.158573596358119,1119.6479514415782
5,1177,7.0,Id2,16.514190317195325,1169.5133555926545
6,987,5.0,Cxcl14,10.737006237006238,1005.2661122661123
6,1142,6.0,Gad1,10.158573596358119,1119.6479514415782
6,1187,7.0,Id2,16.514190317195325,1169.5133555926545
7,749,1.0,Enpp2,10.308868501529052,743.7349643221203
7,968,4.0,Enpp2,11.432246998284734,973.3053173241852
7,975,4.0,Plp1,11.432246998284734,973.3053173241852
7,1022,5.0,Plp1,10.737006237006238,1005.2661122661123
7,1031,0.0,Plp1,,
7,1207,8.0,Id2,24.919372900335947,1221.2631578947369
8,752,1.0,Plp1,10.308868501529052,743.7349643221203
8,1011,5.0,Plp1,10.737006237006238,1005.2661122661123
8,1028,5.0,Plp1,10.737006237006238,1005.2661122661123
8,1115,6.0,Gad1,10.158573596358119,1119.6479514415782
8,1135,6.0,6330403K07Rik,10.158573596358119,1119.6479514415782
9,743,1.0,Plp1,10.308868501529052,743.7349643221203
9,1015,5.0,Plp1,10.737006237006238,1005.2661122661123
9,1026,5.0,Enpp2,10.737006237006238,1005.2661122661123
9,1210,8.0,Plcxd2,24.919372900335947,1221.2631578947369
10,1002,5.0,Plp1,10.737006237006238,1005.2661122661123
10,1119,6.0,Gad1,10.158573596358119,1119.6479514415782
11,971,4.0,Plp1,11.432246998284734,973.3053173241852
11,1012,5.0,Plp1,10.737006237006238,1005.2661122661123
11,1020,5.0,Enpp2,10.737006237006238,1005.2661122661123
12,743,1.0,Plp1,10.308868501529052,743.7349643221203
12,910,3.0,Slc6a1,9.772245762711865,920.2733050847457
12,1178,7.0,Satb1,16.514190317195325,1169.5133555926545
12,1186,7.0,Id2,16.514190317195325,1169.5133555926545
13,959,10.0,Plp1,9.82,954.2733333333333
13,975,4.0,Plp1,11.432246998284734,973.3053173241852
13,1206,8.0,Fos,24.919372900335947,1221.2631578947369
14,966,4.0,Enpp2,11.432246998284734,973.3053173241852
15,756,1.0,Neurod6,10.308868501529052,743.7349643221203
15,880,0.0,3110035E14Rik,,
15,1135,6.0,Id2,10.158573596358119,1119.6479514415782
15,1167,7.0,Zcchc12,16.514190317195325,1169.5133555926545
16,883,0.0,3110035E14Rik,,
17,880,0.0,3110035E14Rik,,
17,970,4.0,Plp1,11.432246998284734,973.3053173241852
18,756,1.0,Plp1,10.308868501529052,743.7349643221203
18,967,4.0,Plp1,11.432246998284734,973.3053173241852
18,1150,0.0,Aldoc,,
19,757,1.0,Plp1,10.308868501529052,743.7349643221203
20,753,1.0,Plp1,10.308868501529052,743.7349643221203
20,834,14.0,Plp1,33.83404558404558,835.5925925925926
21,750,1.0,Plp1,10.308868501529052,743.7349643221203
22,1261,9.0,Id2,10.207219251336898,1259.7994652406417
23,1214,8.0,Rprm,24.919372900335947,1221.2631578947369
24,743,13.0,Cryab,38.025373134328355,741.9067164179105
24,966,0.0,Plp1,,
24,1176,7.0,Plp1,16.514190317195325,1169.5133555926545
25,828,14.0,Plp1,33.83404558404558,835.5925925925926
25,1045,0.0,Cryab,,
26,836,14.0,Plp1,33.83404558404558,835.5925925925926
26,963,0.0,Plp1,,
27,755,13.0,Plp1,38.025373134328355,741.9067164179105
27,973,0.0,Plp1,,
27,1258,11.0,Cplx2,42.63932172318973,1274.678735105408
28,750,13.0,Kctd12,38.025373134328355,741.9067164179105
28,964,0.0,Cryab,,
28,1332,0.0,Cck,,
29,829,14.0,Plp1,33.83404558404558,835.5925925925926
