x_global,y_global,fov_id,label,target,x_cell,y_cell
110,14,0,51,Cxcl14,115.38713199999984,22.422029999999722
-1,736,0,0,Plp1,,
-1,746,0,0,Plp1,,
-1,993,0,0,Id2,,
-1,1016,0,0,Enpp2,,
-1,1026,0,0,Plp1,,
-1,1198,0,0,Aldoc,,
0,730,0,1,Enpp2,10.308868999999504,743.7349599999998
0,954,0,10,Plp1,9.819999999999709,954.2733300000018
0,987,0,5,Id2,10.737006000000292,1005.2661099999987
0,1000,0,5,Cryab,10.737006000000292,1005.2661099999987
0,1020,0,5,Plp1,10.737006000000292,1005.2661099999987
1,728,0,1,Plp1,10.308868999999504,743.7349599999998
1,741,0,1,Plp1,10.308868999999504,743.7349599999998
2,907,0,3,Rgs4,9.77224600000045,920.2733099999987
2,1018,0,5,Sulf2,10.737006000000292,1005.2661099999987
2,1026,0,5,Plp1,10.737006000000292,1005.2661099999987
2,1209,0,8,Id2,24.919372999999723,1221.2631599999986
3,963,0,4,Plp1,11.432246999999734,973.3053199999995
4,1014,0,5,Enpp2,10.737006000000292,1005.2661099999987
4,1021,0,5,Cryab,10.737006000000292,1005.2661099999987
4,1218,0,8,Fam19a1,24.919372999999723,1221.2631599999986
4,1254,0,9,Plp1,10.207218999999895,1259.799469999998
4,1272,0,9,Plp1,10.207218999999895,1259.799469999998
5,743,0,1,Plp1,10.308868999999504,743.7349599999998
5,756,0,1,Plp1,10.308868999999504,743.7349599999998
5,1004,0,5,Plp1,10.737006000000292,1005.2661099999987
5,1149,0,6,Rorb,10.158574000000044,1119.6479500000005
5,1177,0,7,Id2,16.51418999999987,1169.513359999999
6,987,0,5,Cxcl14,10.737006000000292,1005.2661099999987
6,1142,0,6,Gad1,10.158574000000044,1119.6479500000005
6,1187,0,7,Id2,16.51418999999987,1169.513359999999
7,749,0,1,Enpp2,10.308868999999504,743.7349599999998
7,968,0,4,Enpp2,11.432246999999734,973.3053199999995
7,975,0,4,Plp1,11.432246999999734,973.3053199999995
7,1022,0,5,Plp1,10.737006000000292,1005.2661099999987
7,1031,0,0,Plp1,,
7,1207,0,8,Id2,24.919372999999723,1221.2631599999986
8,752,0,1,Plp1,10.308868999999504,743.7349599999998
8,1011,0,5,Plp1,10.737006000000292,1005.2661099999987
8,1028,0,5,Plp1,10.737006000000292,1005.2661099999987
8,1115,0,6,Gad1,10.158574000000044,1119.6479500000005
8,1135,0,6,6330403K07Rik,10.158574000000044,1119.6479500000005
9,743,0,1,Plp1,10.308868999999504,743.7349599999998
9,1015,0,5,Plp1,10.737006000000292,1005.2661099999987
9,1026,0,5,Enpp2,10.737006000000292,1005.2661099999987
9,1210,0,8,Plcxd2,24.919372999999723,1221.2631599999986
10,1002,0,5,Plp1,10.737006000000292,1005.2661099999987
10,1119,0,6,Gad1,10.158574000000044,1119.6479500000005
11,971,0,4,Plp1,11.432246999999734,973.3053199999995
11,1012,0,5,Plp1,10.737006000000292,1005.2661099999987
11,1020,0,5,Enpp2,10.737006000000292,1005.2661099999987
12,743,0,1,Plp1,10.308868999999504,743.7349599999998
12,910,0,3,Slc6a1,9.77224600000045,920.2733099999987
12,1178,0,7,Satb1,16.51418999999987,1169.513359999999
12,1186,0,7,Id2,16.51418999999987,1169.513359999999
13,959,0,10,Plp1,9.819999999999709,954.2733300000018
13,975,0,4,Plp1,11.432246999999734,973.3053199999995
13,1206,0,8,Fos,24.919372999999723,1221.2631599999986
14,966,0,4,Enpp2,11.432246999999734,973.3053199999995
15,756,0,1,Neurod6,10.308868999999504,743.7349599999998
15,880,0,0,3110035E14Rik,,
15,1135,0,6,Id2,10.158574000000044,1119.6479500000005
15,1167,0,7,Zcchc12,16.51418999999987,1169.513359999999
16,883,0,0,3110035E14Rik,,
17,880,0,0,3110035E14Rik,,
17,970,0,4,Plp1,11.432246999999734,973.3053199999995
18,756,0,1,Plp1,10.308868999999504,743.7349599999998
18,967,0,4,Plp1,11.432246999999734,973.3053199999995
18,1150,0,0,Aldoc,,
19,757,0,1,Plp1,10.308868999999504,743.7349599999998
20,753,0,1,Plp1,10.308868999999504,743.7349599999998
20,834,0,14,Plp1,33.834045999999944,835.5925900000002
21,750,0,1,Plp1,10.308868999999504,743.7349599999998
22,1261,0,9,Id2,10.207218999999895,1259.799469999998
23,1214,0,8,Rprm,24.919372999999723,1221.2631599999986
24,743,0,13,Cryab,38.02537299999949,741.906719999999
24,966,0,0,Plp1,,
24,1176,0,7,Plp1,16.51418999999987,1169.513359999999
25,828,0,14,Plp1,33.834045999999944,835.5925900000002
25,1045,0,0,Cryab,,
26,836,0,14,Plp1,33.834045999999944,835.5925900000002
26,963,0,0,Plp1,,
27,755,0,13,Plp1,38.02537299999949,741.906719999999
27,973,0,0,Plp1,,
27,1258,0,11,Cplx2,42.63932199999999,1274.6787400000012
28,750,0,13,Kctd12,38.02537299999949,741.906719999999
28,964,0,0,Cryab,,
28,1332,0,0,Cck,,
29,829,0,14,Plp1,33.834045999999944,835.5925900000002
29,920,0,17,Enpp2,48.385605999999825,922.7947000000004
30,611,0,12,6330403K07Rik,24.944852999999966,605.6415400000005
30,742,0,13,6330403K07Rik,38.02537299999949,741.906719999999
30,912,0,17,Id2,48.385605999999825,922.7947000000004
30,968,0,0,Plp1,,
30,994,0,0,Aldoc,,
30,1310,0,0,Plp1,,
31,840,0,14,Plp1,33.834045999999944,835.5925900000002
31,849,0,14,Plp1,33.834045999999944,835.5925900000002
31,1048,0,0,Plp1,,
31,1281,0,11,Pvalb,42.63932199999999,1274.6787400000012
32,915,0,17,Plp1,48.385605999999825,922.7947000000004
32,964,0,0,Cryab,,
32,1022,0,0,Plp1,,
32,1210,0,8,Cryab,24.919372999999723,1221.2631599999986
33,832,0,14,Plp1,33.834045999999944,835.5925900000002
33,926,0,17,Plp1,48.385605999999825,922.7947000000004
33,1312,0,0,Plp1,,
33,1314,0,0,Plp1,,
34,831,0,14,Plp1,33.834045999999944,835.5925900000002
34,847,0,14,Plp1,33.834045999999944,835.5925900000002
34,932,0,17,Enpp2,48.385605999999825,922.7947000000004
34,1197,0,16,Plp1,41.56462599999941,1187.7932
34,1286,0,11,Id2,42.63932199999999,1274.6787400000012
34,1295,0,11,Fam19a1,42.63932199999999,1274.6787400000012
35,759,0,13,Enpp2,38.02537299999949,741.906719999999
35,1052,0,0,Plp1,,
35,1194,0,16,Plp1,41.56462599999941,1187.7932
35,1254,0,11,Id2,42.63932199999999,1274.6787400000012
36,749,0,13,Plp1,38.02537299999949,741.906719999999
36,826,0,14,Pde1a,33.834045999999944,835.5925900000002
36,829,0,14,Plp1,33.834045999999944,835.5925900000002
36,925,0,17,Plp1,48.385605999999825,922.7947000000004
36,1264,0,11,Id2,42.63932199999999,1274.6787400000012
36,1283,0,11,Id2,42.63932199999999,1274.6787400000012
37,758,0,13,Plp1,38.02537299999949,741.906719999999
37,827,0,14,Plp1,33.834045999999944,835.5925900000002
37,832,0,14,Plp1,33.834045999999944,835.5925900000002
37,877,0,20,Enpp2,56.52744299999995,884.3574300000018
37,961,0,0,Pvalb,,
38,754,0,13,Plp1,38.02537299999949,741.906719999999
38,837,0,14,Plp1,33.834045999999944,835.5925900000002
38,917,0,17,Id2,48.385605999999825,922.7947000000004
39,926,0,17,Plp1,48.385605999999825,922.7947000000004
40,758,0,13,Plp1,38.02537299999949,741.906719999999
40,831,0,14,Plp1,33.834045999999944,835.5925900000002
40,921,0,17,Enpp2,48.385605999999825,922.7947000000004
40,1183,0,16,Plp1,41.56462599999941,1187.7932
40,1195,0,16,Plp1,41.56462599999941,1187.7932
41,771,0,0,Cryab,,
41,843,0,14,Plp1,33.834045999999944,835.5925900000002
41,988,0,0,Cryab,,
41,1053,0,21,Plp1,55.449438000000555,1051.65409
41,1114,0,15,Plp1,31.641892000000553,1116.435809999999
41,1252,0,11,3110035E14Rik,42.63932199999999,1274.6787400000012
42,833,0,14,Plp1,33.834045999999944,835.5925900000002
42,880,0,20,Cpne5,56.52744299999995,884.3574300000018
42,1011,0,0,Arpp21,,
42,1196,0,16,Plp1,41.56462599999941,1187.7932
43,836,0,14,Plp1,33.834045999999944,835.5925900000002
43,1051,0,21,Plp1,55.449438000000555,1051.65409
43,1255,0,11,3110035E14Rik,42.63932199999999,1274.6787400000012
43,1273,0,11,Plp1,42.63932199999999,1274.6787400000012
44,406,0,0,Plp1,,
44,440,0,18,Plp1,50.747378000000026,436.5357499999991
44,915,0,17,Plp1,48.385605999999825,922.7947000000004
44,929,0,17,Plp1,48.385605999999825,922.7947000000004
44,988,0,0,Plp1,,
44,1268,0,11,Plp1,42.63932199999999,1274.6787400000012
44,1278,0,11,Plp1,42.63932199999999,1274.6787400000012
45,447,0,18,Plp1,50.747378000000026,436.5357499999991
45,532,0,0,Plp1,,
45,1193,0,16,Kctd12,41.56462599999941,1187.7932
45,1252,0,11,Cck,42.63932199999999,1274.6787400000012
45,1258,0,11,Plp1,42.63932199999999,1274.6787400000012
45,1264,0,11,Plp1,42.63932199999999,1274.6787400000012
45,1421,0,0,Plp1,,
46,884,0,20,Cpne5,56.52744299999995,884.3574300000018
46,922,0,17,Plp1,48.385605999999825,922.7947000000004
46,1263,0,11,Plp1,42.63932199999999,1274.6787400000012
47,484,0,0,Cryab,,
47,545,0,22,Plp1,48.05494499999986,544.0549499999997
47,1049,0,21,Plp1,55.449438000000555,1051.65409
47,1058,0,21,Plp1,55.449438000000555,1051.65409
47,1283,0,11,Enpp2,42.63932199999999,1274.6787400000012
48,416,0,0,Enpp2,,
48,882,0,20,Enpp2,56.52744299999995,884.3574300000018
48,887,0,20,Prkca,56.52744299999995,884.3574300000018
48,1046,0,21,Plp1,55.449438000000555,1051.65409
49,366,0,23,Plp1,59.085189000000355,369.54307999999946
49,381,0,23,Plp1,59.085189000000355,369.54307999999946
49,913,0,17,Plp1,48.385605999999825,922.7947000000004
49,922,0,17,Plp1,48.385605999999825,922.7947000000004
49,1050,0,21,Plp1,55.449438000000555,1051.65409
49,1245,0,0,Cplx2,,
49,1262,0,11,Plp1,42.63932199999999,1274.6787400000012
49,1274,0,11,Plp1,42.63932199999999,1274.6787400000012
50,372,0,23,Npy2r,59.085189000000355,369.54307999999946
50,436,0,18,Plp1,50.747378000000026,436.5357499999991
50,440,0,18,Plp1,50.747378000000026,436.5357499999991
50,560,0,0,Plp1,,
50,1246,0,0,Cplx2,,
50,1267,0,11,Plp1,42.63932199999999,1274.6787400000012
51,373,0,23,Npy2r,59.085189000000355,369.54307999999946
51,695,0,0,Cadps2,,
51,929,0,17,Plp1,48.385605999999825,922.7947000000004
51,1052,0,21,Plp1,55.449438000000555,1051.65409
51,1055,0,21,Plp1,55.449438000000555,1051.65409
51,1260,0,11,Plp1,42.63932199999999,1274.6787400000012
52,377,0,23,Plp1,59.085189000000355,369.54307999999946
52,893,0,20,Plp1,56.52744299999995,884.3574300000018
52,1284,0,11,Plp1,42.63932199999999,1274.6787400000012
53,379,0,23,Cryab,59.085189000000355,369.54307999999946
53,879,0,20,Cryab,56.52744299999995,884.3574300000018
53,932,0,17,Enpp2,48.385605999999825,922.7947000000004
53,1060,0,21,Cryab,55.449438000000555,1051.65409
54,441,0,18,Cryab,50.747378000000026,436.5357499999991
54,698,0,0,Cadps2,,
54,887,0,20,Plp1,56.52744299999995,884.3574300000018
54,917,0,17,Plp1,48.385605999999825,922.7947000000004
54,929,0,17,Plp1,48.385605999999825,922.7947000000004
54,1042,0,21,Plp1,55.449438000000555,1051.65409
54,1262,0,11,Plp1,42.63932199999999,1274.6787400000012
54,1279,0,11,Plp1,42.63932199999999,1274.6787400000012
55,680,0,0,Pvalb,,
55,1043,0,21,Plp1,55.449438000000555,1051.65409
56,432,0,18,Cryab,50.747378000000026,436.5357499999991
56,436,0,18,Plp1,50.747378000000026,436.5357499999991
56,556,0,0,Plp1,,
56,1056,0,21,Plp1,55.449438000000555,1051.65409
56,1270,0,11,Plp1,42.63932199999999,1274.6787400000012
56,1283,0,11,Enpp2,42.63932199999999,1274.6787400000012
