cell_id,fov_id,area,x,y
0,0,981,10,743
1,0,743,9,783
2,0,944,9,920
3,0,583,11,973
4,0,962,10,1005
5,0,1318,10,1119
6,0,1198,16,1169
7,0,2679,24,1221
8,0,748,10,1259
9,0,300,9,954
10,0,2182,42,1274
11,0,544,24,605
12,0,1340,38,741
13,0,1404,33,835
14,0,592,31,1116
15,0,735,41,1187
16,0,1320,48,922
17,0,1049,50,436
18,0,322,44,675
19,0,1494,56,884
20,0,1246,55,1051
21,0,273,48,544
22,0,1033,59,369
23,0,1134,63,658
24,0,1564,72,522
25,0,1613,70,618
26,0,2471,76,1415
27,0,752,66,459
28,0,380,61,785
29,0,787,70,1355
30,0,363,76,787
31,0,561,72,400
32,0,575,74,1310
33,0,1051,90,463
34,0,712,87,376
35,0,737,86,178
36,0,913,99,399
37,0,922,93,1539
38,0,1146,97,698
39,0,837,99,1566
40,0,974,101,1511
41,0,1157,103,272
42,0,1708,107,334
43,0,689,97,115
44,0,1393,108,1466
45,0,457,101,1402
46,0,1228,112,818
47,0,1646,118,57
48,0,837,110,984
49,0,1143,116,752
50,0,917,115,22
51,0,1544,125,1607
52,0,1236,125,1259
53,0,1772,133,195
54,0,831,124,87
55,0,1421,127,1174
56,0,1157,131,1527
57,0,1013,133,1296
58,0,274,126,171
59,0,2373,147,1663
60,0,1765,147,505
61,0,364,133,352
62,0,1129,137,662
63,0,1091,140,893
64,0,1038,142,1328
65,0,495,139,322
66,0,1137,153,864
67,0,1218,156,1412
68,0,1453,161,235
69,0,875,155,1138
70,0,1287,160,1050
71,0,1105,160,1477
72,0,1222,160,60
73,0,1058,161,1231
74,0,729,168,262
75,0,1197,177,478
76,0,1160,174,1277
77,0,238,166,701
78,0,241,170,712
79,0,291,172,1518
80,0,1903,186,1766
81,0,1219,188,1495
82,0,1092,185,101
83,0,392,178,535
84,0,692,179,999
85,0,983,190,1237
86,0,1228,188,750
87,0,1085,189,390
88,0,304,183,520
89,0,659,185,1431
90,0,1475,197,1809
91,0,1141,193,164
92,0,305,185,1535
93,0,557,197,1547
94,0,787,204,123
95,0,1014,218,144
96,0,1410,219,248
97,0,1296,218,1690
98,0,592,212,720
99,0,1001,216,1846
100,0,777,217,95
101,0,1070,220,1633
102,0,1195,219,1892
103,0,1173,220,501
104,0,1538,225,1457
105,0,1252,227,591
106,0,1050,231,395
107,0,305,224,335
108,0,807,238,1916
109,0,1670,241,1545
110,0,876,233,1092
111,0,3116,246,1962
112,0,1336,245,1869
113,0,302,236,373
114,0,1029,247,1627
115,0,901,247,1394
116,0,1202,255,2008
117,0,1111,253,1349
118,0,1247,256,1141
119,0,1646,261,1797
120,0,1603,262,162
121,0,1202,256,306
122,0,776,261,2039
123,0,1297,269,347
124,0,1135,267,1485
125,0,1908,282,2059
126,0,1225,273,1594
127,0,1368,277,1435
128,0,579,269,1938
129,0,1471,274,569
130,0,229,272,2024
131,0,443,280,1992
132,0,6441,319,2112
133,0,1179,288,419
134,0,837,287,1681
135,0,979,301,333
136,0,1239,301,1003
137,0,1481,313,489
138,0,955,313,1671
139,0,510,310,1730
140,0,1271,315,751
141,0,778,311,1806
142,0,879,321,792
143,0,1460,330,1785
144,0,1050,334,2202
145,0,1148,337,247
146,0,767,338,1973
147,0,969,348,2180
148,0,644,346,2103
149,0,802,351,1695
150,0,1099,357,363
151,0,1200,358,1320
152,0,1174,364,2089
153,0,1320,363,1849
154,0,1312,373,1526
155,0,1402,383,891
156,0,410,380,1599
157,0,311,382,2317
158,0,1152,394,1925
159,0,1389,400,1032
160,0,1346,397,1666
161,0,2957,413,2334
162,0,888,401,2295
163,0,420,401,1973
164,0,1313,412,1601
165,0,322,405,2173
166,0,1377,421,1184
167,0,490,414,1159
168,0,1617,424,1788
169,0,712,420,2188
170,0,1728,427,2381
171,0,426,418,1642
172,0,1477,438,2087
173,0,1145,436,346
174,0,1112,444,2410
175,0,1007,444,2029
176,0,2031,451,1704
177,0,1399,455,314
178,0,948,449,901
179,0,814,452,2437
180,0,1070,454,663
181,0,2685,486,2488
182,0,707,468,1416
183,0,1206,478,1872
184,0,1408,480,2202
185,0,821,481,798
186,0,784,489,1423
187,0,271,485,1353
188,0,597,489,2362
189,0,484,489,1110
190,0,305,491,1343
191,0,1197,495,1457
192,0,1064,497,2322
193,0,1140,498,2114
194,0,1697,512,795
195,0,1373,512,2543
196,0,906,510,2415
197,0,1043,515,1698
198,0,361,511,1725
199,0,1239,526,2099
200,0,910,541,2323
201,0,2382,550,2626
202,0,422,539,2132
203,0,1227,548,527
204,0,419,545,1427
205,0,1186,554,2352
206,0,471,551,2524
207,0,1192,562,1409
208,0,1159,561,1736
209,0,906,565,2405
210,0,1988,572,1112
211,0,1460,581,2673
212,0,1727,585,2466
213,0,659,583,2629
214,0,1211,593,1618
215,0,478,588,2549
216,0,726,593,2320
217,0,1498,596,2726
218,0,318,595,1593
219,0,532,600,1710
220,0,1915,618,2761
221,0,692,603,1060
222,0,967,606,1001
223,0,1221,608,650
224,0,1174,613,2559
225,0,737,610,2631
226,0,454,608,2786
227,0,1739,637,2811
228,0,1001,626,2387
229,0,1323,630,466
230,0,1814,642,2677
231,0,1201,639,2141
232,0,1963,647,2045
233,0,775,640,982
234,0,1939,652,1551
235,0,471,647,2710
236,0,1409,655,1132
237,0,1583,661,2841
238,0,1294,676,1962
239,0,1214,678,2517
240,0,1037,677,2876
241,0,1240,677,800
242,0,1209,683,540
243,0,2209,698,2906
244,0,2003,695,1114
245,0,1387,690,1698
246,0,1317,700,2137
247,0,540,693,1249
248,0,823,698,838
249,0,1365,710,2728
