class,weight,iteration,has_converged,utc
Astro.1,0.16549414095898116,153,1,2022-07-14 21:02:07.842942
Astro.2,2.7940762063888556e-09,153,1,2022-07-14 21:02:07.842942
Astro.3,0.06458495768325298,153,1,2022-07-14 21:02:07.842942
Astro.4,2.7940762063888556e-09,153,1,2022-07-14 21:02:07.842942
Astro.5,0.0021293067196933788,153,1,2022-07-14 21:02:07.842942
Cacna2d1.Lhx6.Reln,0.0074575162726262505,153,1,2022-07-14 21:02:07.842942
Cacna2d1.Lhx6.Vwa5a,2.7940762063888556e-09,153,1,2022-07-14 21:02:07.842942
Cacna2d1.Ndnf.Cxcl14,2.7940762063888556e-09,153,1,2022-07-14 21:02:07.842942
Cacna2d1.Ndnf.Npy,2.7940762063888556e-09,153,1,2022-07-14 21:02:07.842942
Cacna2d1.Ndnf.Rgs10,0.005789972003188247,153,1,2022-07-14 21:02:07.842942
Calb2.Cntnap5a.Igfbp6,0.01206259573635863,153,1,2022-07-14 21:02:07.842942
Calb2.Cntnap5a.Rspo3,2.7940762063888556e-09,153,1,2022-07-14 21:02:07.842942
Calb2.Cntnap5a.Vip,2.7940762063888556e-09,153,1,2022-07-14 21:02:07.842942
Calb2.Cryab,0.0093030427202348,153,1,2022-07-14 21:02:07.842942
Calb2.Vip.Gpd1,2.7940762063888556e-09,153,1,2022-07-14 21:02:07.842942
Calb2.Vip.Igfbp4,2.7940762063888556e-09,153,1,2022-07-14 21:02:07.842942
Calb2.Vip.Nos1,2.7940762063888556e-09,153,1,2022-07-14 21:02:07.842942
Cck.Calca,2.7940762063888556e-09,153,1,2022-07-14 21:02:07.842942
Cck.Cxcl14.Calb1.Igfbp5,2.7940762063888556e-09,153,1,2022-07-14 21:02:07.842942
Cck.Cxcl14.Calb1.Kctd12,2.7940762063888556e-09,153,1,2022-07-14 21:02:07.842942
Cck.Cxcl14.Calb1.Tac2,2.7940762063888556e-09,153,1,2022-07-14 21:02:07.842942
Cck.Cxcl14.Calb1.Tnfaip8l3,2.7940762063888556e-09,153,1,2022-07-14 21:02:07.842942
Cck.Cxcl14.Slc17a8,2.7940762063888556e-09,153,1,2022-07-14 21:02:07.842942
Cck.Cxcl14.Vip,2.7940762063888556e-09,153,1,2022-07-14 21:02:07.842942
Cck.Lmo1.Npy,2.7940762063888556e-09,153,1,2022-07-14 21:02:07.842942
Cck.Lmo1.Vip.Crh,2.7940762063888556e-09,153,1,2022-07-14 21:02:07.842942
Cck.Lmo1.Vip.Fam19a2,2.7940762063888556e-09,153,1,2022-07-14 21:02:07.842942
Cck.Lmo1.Vip.Tac2,2.7940762063888556e-09,153,1,2022-07-14 21:02:07.842942
Cck.Lypd1,2.7940762063888556e-09,153,1,2022-07-14 21:02:07.842942
Cck.Sema5a,2.7940762063888556e-09,153,1,2022-07-14 21:02:07.842942
Choroid,2.7940762063888556e-09,153,1,2022-07-14 21:02:07.842942
Endo,0.00817488335343167,153,1,2022-07-14 21:02:07.842942
Eryth.1,0.0020131281604185156,153,1,2022-07-14 21:02:07.842942
Eryth.2,0.017235996524936095,153,1,2022-07-14 21:02:07.842942
Microglia.1,0.0030692085424436537,153,1,2022-07-14 21:02:07.842942
Microglia.2,2.7940762063888556e-09,153,1,2022-07-14 21:02:07.842942
Ntng1.Chrm2,2.7940762063888556e-09,153,1,2022-07-14 21:02:07.842942
Ntng1.Rgs10,0.009959144386570496,153,1,2022-07-14 21:02:07.842942
Ntng1.Synpr,2.7940762063888556e-09,153,1,2022-07-14 21:02:07.842942
Oligo.1,0.016230720780895606,153,1,2022-07-14 21:02:07.842942
Oligo.2,2.7940762063888556e-09,153,1,2022-07-14 21:02:07.842942
Oligo.3,2.7940762063888556e-09,153,1,2022-07-14 21:02:07.842942
Oligo.4,0.11634383646748074,153,1,2022-07-14 21:02:07.842942
Oligo.5,0.05020643717186908,153,1,2022-07-14 21:02:07.842942
PC.CA1.1,0.022327299857540246,153,1,2022-07-14 21:02:07.842942
PC.CA1.2,0.05713070222592546,153,1,2022-07-14 21:02:07.842942
PC.CA1.3,0.25290780828589476,153,1,2022-07-14 21:02:07.842942
PC.Other1,0.02889821476495645,153,1,2022-07-14 21:02:07.842942
PC.Other2,0.03285502676691659,153,1,2022-07-14 21:02:07.842942
Pvalb.C1ql1.Cpne5,2.7940762063888556e-09,153,1,2022-07-14 21:02:07.842942
Pvalb.C1ql1.Npy,2.7940762063888556e-09,153,1,2022-07-14 21:02:07.842942
Pvalb.C1ql1.Pvalb,2.7940762063888556e-09,153,1,2022-07-14 21:02:07.842942
Pvalb.Tac1.Akr1c18,0.01214780894307844,153,1,2022-07-14 21:02:07.842942
Pvalb.Tac1.Nr4a2,0.006340117726123694,153,1,2022-07-14 21:02:07.842942
Pvalb.Tac1.Sst,2.7940762063888556e-09,153,1,2022-07-14 21:02:07.842942
