gene,gene_efficiency,iteration,has_converged,utc
3110035E14Rik,0.7640197311980969,153,1,2022-07-14 21:02:07.839942
6330403K07Rik,0.07541675328377434,153,1,2022-07-14 21:02:07.839942
Adgrl2,0.2001327812393229,153,1,2022-07-14 21:02:07.839942
Aldoc,0.2216029592774834,153,1,2022-07-14 21:02:07.839942
Arpp21,0.25056718564123026,153,1,2022-07-14 21:02:07.839942
Bcl11b,0.07334841414603693,153,1,2022-07-14 21:02:07.839942
Cadps2,0.5133992403882252,153,1,2022-07-14 21:02:07.839942
Calb1,0.0841535029591306,153,1,2022-07-14 21:02:07.839942
Calb2,0.10608574928028784,153,1,2022-07-14 21:02:07.839942
Cck,0.08466851595809692,153,1,2022-07-14 21:02:07.839942
Cdh13,0.15818190551465486,153,1,2022-07-14 21:02:07.839942
Chodl,0.05751301886201359,153,1,2022-07-14 21:02:07.839942
Chrm2,0.10962730290785666,153,1,2022-07-14 21:02:07.839942
Cnr1,0.1853132296784514,153,1,2022-07-14 21:02:07.839942
Col25a1,0.31624615519715454,153,1,2022-07-14 21:02:07.839942
Cort,0.06589440267622894,153,1,2022-07-14 21:02:07.839942
Cox6a2,0.09837271529142048,153,1,2022-07-14 21:02:07.839942
Cplx2,0.8238120432191445,153,1,2022-07-14 21:02:07.839942
Cpne5,0.17887801316196714,153,1,2022-07-14 21:02:07.839942
Crh,0.04110754768787795,153,1,2022-07-14 21:02:07.839942
Crhbp,0.14753985459490396,153,1,2022-07-14 21:02:07.839942
Cryab,0.1140743725276321,153,1,2022-07-14 21:02:07.839942
Crym,0.30998751641631633,153,1,2022-07-14 21:02:07.839942
Cux2,0.15395607976416867,153,1,2022-07-14 21:02:07.839942
Cxcl14,0.21940235421479223,153,1,2022-07-14 21:02:07.839942
Enc1,0.49753647571898685,153,1,2022-07-14 21:02:07.839942
Enpp2,0.687432970107951,153,1,2022-07-14 21:02:07.839942
Fam19a1,0.22231364990597188,153,1,2022-07-14 21:02:07.839942
Fos,0.15218765768460116,153,1,2022-07-14 21:02:07.839942
Gabrd,0.06479907336965796,153,1,2022-07-14 21:02:07.839942
Gad1,0.600972028590554,153,1,2022-07-14 21:02:07.839942
Gda,0.046956221122474044,153,1,2022-07-14 21:02:07.839942
Grin3a,0.061232381516615295,153,1,2022-07-14 21:02:07.839942
Hapln1,0.12621386698752138,153,1,2022-07-14 21:02:07.839942
Htr3a,0.8484627490743826,153,1,2022-07-14 21:02:07.839942
Id2,0.91647357223345,153,1,2022-07-14 21:02:07.839942
Kcnk2,0.0159566079479907,153,1,2022-07-14 21:02:07.839942
Kctd12,0.21670992946260773,153,1,2022-07-14 21:02:07.839942
Kit,0.21927825736369622,153,1,2022-07-14 21:02:07.839942
Lamp5,0.1657961743626077,153,1,2022-07-14 21:02:07.839942
Lhx6,0.12111569886624843,153,1,2022-07-14 21:02:07.839942
Ndnf,0.23711728832339965,153,1,2022-07-14 21:02:07.839942
Neurod6,1.7729818764218959,153,1,2022-07-14 21:02:07.839942
Nos1,0.04928107427743502,153,1,2022-07-14 21:02:07.839942
