cell_label,Astro.1,Astro.2,Astro.3,Astro.4,Astro.5,Cacna2d1.Lhx6.Reln,Cacna2d1.Lhx6.Vwa5a,Cacna2d1.Ndnf.Cxcl14,Cacna2d1.Ndnf.Npy,Cacna2d1.Ndnf.Rgs10,Calb2.Cntnap5a.Igfbp6,Calb2.Cntnap5a.Rspo3,Calb2.Cntnap5a.Vip,Calb2.Cryab,Calb2.Vip.Gpd1,Calb2.Vip.Igfbp4,Calb2.Vip.Nos1,Cck.Calca,Cck.Cxcl14.Calb1.Igfbp5,Cck.Cxcl14.Calb1.Kctd12,Cck.Cxcl14.Calb1.Tac2,Cck.Cxcl14.Calb1.Tnfaip8l3,Cck.Cxcl14.Slc17a8,Cck.Cxcl14.Vip,Cck.Lmo1.Npy,Cck.Lmo1.Vip.Crh,Cck.Lmo1.Vip.Fam19a2,Cck.Lmo1.Vip.Tac2,Cck.Lypd1,Cck.Sema5a,Choroid,Endo,Eryth.1,Eryth.2,Microglia.1,Microglia.2,Ntng1.Chrm2,Ntng1.Rgs10,Ntng1.Synpr,Oligo.1,Oligo.2,Oligo.3,Oligo.4,Oligo.5,PC.CA1.1,PC.CA1.2,PC.CA1.3,PC.Other1,PC.Other2,Pvalb.C1ql1.Cpne5,Pvalb.C1ql1.Npy,Pvalb.C1ql1.Pvalb,Pvalb.Tac1.Akr1c18,Pvalb.Tac1.Nr4a2,Pvalb.Tac1.Sst,Pvalb.Tac1.Syt2,Sst.Cryab,Sst.Erbb4.Crh,Sst.Erbb4.Rgs10,Sst.Erbb4.Th,Sst.Nos1,Sst.Npy.Cort,Sst.Npy.Mgat4c,Sst.Npy.Serpine2,Sst.Npy.Zbtb20,Sst.Pnoc.Calb1.Igfbp5,Sst.Pnoc.Calb1.Pvalb,Sst.Pnoc.Pvalb,Vip.Crh.C1ql1,Vip.Crh.Pcp4,Vsmc,Zero,iteration,has_converged,utc
0,0.057066107850105664,0.0,0.003669334365004099,0.0,0.0013471245110573088,2.5723001446850276e-11,0.0,0.0,0.0,4.955530807535882e-10,5.542558318693684e-05,0.0,0.0,2.9930498438936306e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010164305567335217,0.013252768764406569,0.013352905879684756,0.012237735269386499,0.0,0.0,1.873564922140398e-11,0.0,6.570103071551086e-05,0.0,0.0,0.003938470694119059,0.0030402503744311397,0.00021464874001976187,3.3786881678036626e-06,1.0121819544670816e-07,2.3042921113163738e-09,8.298190197074258e-12,0.0,0.0,0.0,3.432082944768878e-11,4.006538976543905e-06,0.0,2.1022747455562446e-09,1.6966419390364458e-15,0.0,0.0,0.0,0.0,0.0,0.0,9.324245136722751e-14,0.0,0.0,0.0,5.720617130882231e-09,0.0,0.0,0.0,0.8815874249103137,153,1,2022-07-14 21:02:06.835980
1,1.2803681061303473e-08,0.0,1.0788788728211913e-10,0.0,2.4060363354627736e-09,5.531964474607559e-19,0.0,0.0,0.0,7.453016804557729e-19,2.480630918733437e-14,0.0,0.0,1.934392161092118e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.823867515875103e-09,6.988409394790137e-08,0.0039186021093673635,1.3925251248478367e-09,0.0,0.0,1.3410629720719552e-19,0.0,0.04029321302351795,0.0,0.0,0.8220319117777457,0.133756182592738,4.9139660844777434e-11,6.164506949442478e-12,3.056439904259887e-12,7.732965554180425e-15,6.495456130824286e-16,0.0,0.0,0.0,5.140369846952295e-18,1.3327421789204005e-15,0.0,3.820701259511982e-17,9.845610699338947e-23,0.0,0.0,0.0,0.0,0.0,0.0,3.5381784432512464e-20,0.0,0.0,0.0,2.1446071651064751e-16,0.0,0.0,0.0,2.0141760913005024e-11,153,1,2022-07-14 21:02:06.835980
2,2.5746112614920374e-10,0.0,1.7067407703140235e-12,0.0,1.045459998254123e-10,2.4041608223415246e-20,0.0,0.0,0.0,1.1587101484416471e-20,1.7507234091449652e-16,0.0,0.0,6.681601096827955e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7501205730719535e-11,1.3784553276719567e-09,0.004021271424908763,1.680406756794045e-11,0.0,0.0,6.205114099017891e-22,0.0,0.029604896417174738,0.0,0.0,0.7939074279367331,0.1724664024116364,1.0455163792480168e-12,5.714498216619136e-13,1.4476200772099042e-12,1.2096145250690594e-15,4.99352246357592e-16,0.0,0.0,0.0,1.6368140268135495e-20,3.3498705286486743e-18,0.0,2.776799991158652e-19,2.2492348322261115e-24,0.0,0.0,0.0,0.0,0.0,0.0,7.980076106121187e-22,0.0,0.0,0.0,1.404787077487358e-18,0.0,0.0,0.0,6.018254660159506e-15,153,1,2022-07-14 21:02:06.835980
3,0.14711804965845493,0.0,0.008805878490565692,0.0,0.001491012502273041,1.1582086465265791e-09,0.0,0.0,0.0,1.735158290038826e-08,0.00011082064635459108,0.0,0.0,7.253723848853658e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012131469034064053,0.0021352082483875167,0.010813765340557299,0.0032275409459662538,0.0,0.0,3.532694362374286e-09,0.0,0.0008883978409630265,0.0,0.0,0.001928349281031186,0.6410849077531259,0.023594861311860005,0.005053755560251988,0.00044422840947126583,1.2661100973695672e-05,1.4998999717441433e-07,0.0,0.0,0.0,5.077829894541528e-09,7.526066016523385e-05,0.0,8.950472625418341e-08,3.5917614870196347e-13,0.0,0.0,0.0,0.0,0.0,0.0,2.555035076925356e-10,0.0,0.0,0.0,1.77156965914836e-06,0.0,0.0,0.0,0.14108106940258844,153,1,2022-07-14 21:02:06.835980
4,1.6707118063806682e-06,0.0,2.685282568328524e-07,0.0,1.0060642073723819e-07,5.727132137558652e-15,0.0,0.0,0.0,2.039556483876701e-14,3.487628547528415e-12,0.0,0.0,2.4637021883139027e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.517991959031812e-09,4.1296443612213326e-10,0.0051303641129147775,1.1528294798619656e-10,0.0,0.0,3.6184284718963394e-19,0.0,0.06483465273733166,0.0,0.0,0.7382612252258065,0.19177171201763404,4.5931826116174915e-12,5.260752155123257e-13,1.8074585760284687e-13,1.4988279596686208e-14,4.7799821920767264e-15,0.0,0.0,0.0,1.43715149276919e-16,3.9851588919582755e-14,0.0,3.0648421197437475e-15,1.1741242577718865e-17,0.0,0.0,0.0,0.0,0.0,0.0,1.144712476582666e-18,0.0,0.0,0.0,1.4209841657492685e-14,0.0,0.0,0.0,2.2350956459655e-12,153,1,2022-07-14 21:02:06.835980
5,2.062105148920913e-22,0.0,8.2683712359408115e-25,0.0,9.613202593533134e-22,1.860441490579276e-32,0.0,0.0,0.0,9.829837051175864e-34,2.4386808309103683e-31,0.0,0.0,8.689886700827645e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016459704034895e-22,2.7625354327190916e-21,2.548272258292589e-08,2.202378325097249e-24,0.0,0.0,2.493605429405246e-36,0.0,0.4159220601224278,0.0,0.0,0.5352874052368967,0.048790509157953015,5.616081441801174e-26,3.3012303715162633e-25,9.052638438996542e-24,1.515293288744686e-26,2.8518445871264847e-25,0.0,0.0,0.0,4.813348182133432e-33,1.5783419986204447e-34,0.0,1.7480869854026106e-32,1.633391080339349e-35,0.0,0.0,0.0,0.0,0.0,0.0,4.497274973767196e-34,0.0,0.0,0.0,4.599566645246437e-32,0.0,0.0,0.0,4.011018796663758e-32,153,1,2022-07-14 21:02:06.835980
6,0.22311557627118198,0.0,0.7370894158722361,0.0,0.0010683683632542894,0.00012638069212989769,0.0,0.0,0.0,0.002958196387519617,0.03292541955057614,0.0,0.0,8.948213533253055e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6284081798117144e-05,4.4677309800332125e-07,2.4097278870180505e-05,9.612959920863507e-06,0.0,0.0,1.2663580197713203e-05,0.0,4.685509273201212e-08,0.0,0.0,6.325726088980511e-07,5.961353925303954e-06,1.1422400445800827e-06,3.394038393535016e-08,3.587573296846704e-09,9.60222555675063e-09,1.482076351391815e-12,0.0,0.0,0.0,7.822551011638029e-06,0.0020709498552738516,0.0,2.092294821030594e-06,4.700299155295126e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.604263600855058e-07,0.0,0.0,0.0,0.00044543642444473414,0.0,0.0,0.0,2.971734564524726e-05,153,1,2022-07-14 21:02:06.835980
7,0.47529357538072464,0.0,0.20136925252454832,0.0,0.010728381223667833,1.441249251671267e-08,0.0,0.0,0.0,6.97933156854232e-08,0.0004851515358396015,0.0,0.0,6.394341241893479e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03429643243010266,0.001427423510317351,0.05698739992102509,0.04745830212016804,0.0,0.0,6.674980001516214e-10,0.0,0.00026628025381509766,0.0,0.0,0.015554265786376816,0.14941067790909196,1.6487054891755597e-05,9.427848691910328e-06,1.8744473004397853e-07,5.821754833178142e-07,3.6298943661409563e-09,0.0,0.0,0.0,7.184131450503826e-10,0.0002080575538334961,0.0,6.537516597100575e-08,1.1720929275494223e-11,0.0,0.0,0.0,0.0,0.0,0.0,3.755279947724987e-12,0.0,0.0,0.0,2.3262719790416962e-07,0.0,0.0,0.0,0.00642378467481937,153,1,2022-07-14 21:02:06.835980
8,0.2519697228382986,0.0,0.1708120079801272,0.0,0.005253598141268239,7.61180704951265e-09,0.0,0.0,0.0,2.476882823055911e-07,0.0007148450547642413,0.0,0.0,0.00011371365392517687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29740171134838717,0.0011876529237592527,0.02289690249981802,0.1620992121996175,0.0,0.0,2.153235924774673e-10,0.0,3.0911758072160664e-05,0.0,0.0,0.004561965815466902,0.006660600134504861,0.00040958052681709124,0.0001568164223757787,1.6512099998165573e-06,5.7058311341951066e-06,1.587390628161069e-07,0.0,0.0,0.0,2.3560093390376294e-10,4.791050934080076e-06,0.0,6.119343422771384e-09,4.778415102866301e-12,0.0,0.0,0.0,0.0,0.0,0.0,3.360079274492528e-13,0.0,0.0,0.0,1.7317787964151983e-08,0.0,0.0,0.0,0.07571817267840712,153,1,2022-07-14 21:02:06.835980
9,2.6458379537399298e-05,0.0,1.978225403216948e-06,0.0,1.3942776442393554e-06,4.000091493551743e-14,0.0,0.0,0.0,3.613533593038719e-14,5.513239401710721e-11,0.0,0.0,3.56959177141318e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7158414869110784e-06,1.841608142919563e-06,0.014002739056580775,1.6225668815461965e-06,0.0,0.0,3.094965520264203e-15,0.0,0.034782969583245234,0.0,0.0,0.6609844198558149,0.2901927658782634,4.68062861421242e-08,2.4796089900069152e-08,3.7479784745582095e-09,1.0794311535939222e-10,1.1608887198898741e-11,0.0,0.0,0.0,9.742936318699241e-14,3.9401792721190964e-11,0.0,8.084722930545593e-13,1.1226776990478778e-17,0.0,0.0,0.0,0.0,0.0,0.0,3.938171033935462e-17,0.0,0.0,0.0,1.3372686822060627e-12,0.0,0.0,0.0,1.9124540379512503e-08,153,1,2022-07-14 21:02:06.835980
