cell_label,3110035E14Rik,6330403K07Rik,Adgrl2,Aldoc,Arpp21,Bcl11b,Cadps2,Calb1,Calb2,Cck,Cdh13,Chodl,Chrm2,Cnr1,Col25a1,Cort,Cox6a2,Cplx2,Cpne5,Crh,Crhbp,Cryab,Crym,Cux2,Cxcl14,Enc1,Enpp2,Fam19a1,Fos,Gabrd,Gad1,Gda,Grin3a,Hapln1,Htr3a,Id2,Kcnk2,Kctd12,Kit,Lamp5,Lhx6,Ndnf,Neurod6,Nos1,Nov,Npy,Npy2r,Nr4a2,Nrn1,Nrsn1,Ntng1,Pax6,Pcp4,Pde1a,Penk,Plcxd2,Plp1,Pnoc,Prkca,Pthlh,Pvalb,Pvrl3,Qrfpr,Rab3c,Rasgrf2,Rbp4,Reln,Rgs10,Rgs12,Rgs4,Rorb,Rprm,Satb1,Scg2,Sema3c,Serpini1,Slc17a8,Slc6a1,Snca,Sncg,Sst,Sulf2,Synpr,Tac1,Tac2,Th,Thsd7a,Trp53i11,Vip,Wfs1,Yjefn3,Zcchc12,iteration,has_converged,utc
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153,1,2022-07-14 21:02:06.675942
1,0.0,0.026771609056897464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08987393959019974,0.0,0.0,0.0,0.0,1.6254187337099175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013991173382888451,0.0,0.0,0.0,0.0,0.07812475391885437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.520748377868815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153,1,2022-07-14 21:02:06.675942
2,0.0,0.324038789718529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5491930732428806,0.0,0.0,0.0,0.0,0.41158562308079344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3304005169138957,0.0,0.0,0.0,0.0,0.6490641615723334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6734721814575731e-18,0.0,0.0,6.054527787206637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153,1,2022-07-14 21:02:06.675942
3,2.969128534155902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007941054747406204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050763560589625036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024697963890110905,0.0,0.00015842479871019848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8095319366841494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96484480436815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153,1,2022-07-14 21:02:06.675942
4,0.0,0.0,0.0,0.9156609412204929,0.019999510719175127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.814190665704968,0.0,0.0,0.01050453054618062,0.0,0.031498994015184446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001404392546049401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2535119881904957,0.0,0.0,0.0,0.9437615475959866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9807187470445382,4.495720251712232e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153,1,2022-07-14 21:02:06.675942
5,0.0,0.0,0.0,0.006903541481401256,0.018309835837148142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0143379503642103,0.0,7.032863476760663e-11,0.018004047537148918,0.0,2.991714870972228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01949645993850605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013586328831772168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.668560651644434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.920769552364329e-10,0.9948416123833284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153,1,2022-07-14 21:02:06.675942
6,0.0,0.9961675036547661,0.0,0.9520302483585817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.892717345293935,0.0,0.0,0.0,0.0,0.9930540077670622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9642497927681144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0141618771565326e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9841837976864136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030665877087806557,153,1,2022-07-14 21:02:06.675942
7,0.0,2.047152906507993e-06,0.0,0.01696966432732946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000423703983849004,0.0,0.0,0.0,0.0,0.0,0.0,0.004540531886643611,0.0,4.366633834422907e-05,0.0,0.0,0.0,0.0,2.928920129165292,0.0,0.00014146670832582725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.590985365208216e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008676588521250797,0.9859647768647308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00373210433176677,0.00019960077848880353,0.9911888553636174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9835538776781191,153,1,2022-07-14 21:02:06.675942
8,5.672678114612947e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2137560507745816e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.896088726127597e-07,0.0,0.0,0.0,0.2349991778001297,0.0,0.0,0.0,0.0,0.0,0.9883015195267687,0.9883288268266082,0.0,0.0,0.0,0.0,0.0,0.0,2.030834013944692,0.0,4.5260537668228865e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9937742845675758,0.015549516231203991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8249868537570104e-13,0.0,0.9698323630535611,0.00046638198617848504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153,1,2022-07-14 21:02:06.675942
9,0.000369276022104592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000296501846676223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002832546017348733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79212638689291,0.9944499672376149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.913144917987097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.208056688712541,0.0,0.0,0.0,0.9326430257799231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009210995165114103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153,1,2022-07-14 21:02:06.675942
