,Gene,x,y
0,Cxcl14,110,5457
1,Plp1,-1,4735
2,Plp1,-1,4725
3,Id2,-1,4478
4,Enpp2,-1,4455
5,Plp1,-1,4445
6,Aldoc,-1,4273
7,Enpp2,0,4741
8,Plp1,0,4517
9,Id2,0,4484
10,Cryab,0,4471
11,Plp1,0,4451
12,Plp1,1,4743
13,Plp1,1,4730
14,Rgs4,2,4564
15,Sulf2,2,4453
16,Plp1,2,4445
17,Id2,2,4262
18,Plp1,3,4508
19,Enpp2,4,4457
20,Cryab,4,4450
21,Fam19a1,4,4253
22,Plp1,4,4217
23,Plp1,4,4199
24,Plp1,5,4728
25,Plp1,5,4715
26,Plp1,5,4467
27,Rorb,5,4322
28,Id2,5,4294
29,Cxcl14,6,4484
30,Gad1,6,4329
31,Id2,6,4284
32,Enpp2,7,4722
33,Enpp2,7,4503
34,Plp1,7,4496
35,Plp1,7,4449
36,Plp1,7,4440
37,Id2,7,4264
38,Plp1,8,4719
39,Plp1,8,4460
40,Plp1,8,4443
41,Gad1,8,4356
42,6330403K07Rik,8,4336
43,Plp1,9,4728
44,Plp1,9,4456
45,Enpp2,9,4445
46,Plcxd2,9,4261
47,Plp1,10,4469
48,Gad1,10,4352
49,Plp1,11,4500
50,Plp1,11,4459
51,Enpp2,11,4451
52,Plp1,12,4728
53,Slc6a1,12,4561
54,Satb1,12,4293
55,Id2,12,4285
56,Plp1,13,4512
57,Plp1,13,4496
58,Fos,13,4265
59,Enpp2,14,4505
60,Neurod6,15,4715
61,3110035E14Rik,15,4591
62,Id2,15,4336
63,Zcchc12,15,4304
64,3110035E14Rik,16,4588
65,3110035E14Rik,17,4591
66,Plp1,17,4501
67,Plp1,18,4715
68,Plp1,18,4504
69,Aldoc,18,4321
70,Plp1,19,4714
71,Plp1,20,4718
72,Plp1,20,4637
73,Plp1,21,4721
74,Id2,22,4210
75,Rprm,23,4257
76,Cryab,24,4728
77,Plp1,24,4505
78,Plp1,24,4295
79,Plp1,25,4643
80,Cryab,25,4426
81,Plp1,26,4635
82,Plp1,26,4508
83,Plp1,27,4716
84,Plp1,27,4498
85,Cplx2,27,4213
86,Kctd12,28,4721
87,Cryab,28,4507
88,Cck,28,4139
89,Plp1,29,4642
90,Enpp2,29,4551
91,6330403K07Rik,30,4860
92,6330403K07Rik,30,4729
93,Id2,30,4559
94,Plp1,30,4503
95,Aldoc,30,4477
96,Plp1,30,4161
97,Plp1,31,4631
98,Plp1,31,4622
99,Plp1,31,4423
100,Pvalb,31,4190
101,Plp1,32,4556
102,Cryab,32,4507
103,Plp1,32,4449
104,Cryab,32,4261
105,Plp1,33,4639
106,Plp1,33,4545
107,Plp1,33,4159
108,Plp1,33,4157
109,Plp1,34,4640
110,Plp1,34,4624
111,Enpp2,34,4539
112,Plp1,34,4274
113,Id2,34,4185
114,Fam19a1,34,4176
115,Enpp2,35,4712
116,Plp1,35,4419
117,Plp1,35,4277
118,Id2,35,4217
119,Plp1,36,4722
120,Pde1a,36,4645
121,Plp1,36,4642
122,Plp1,36,4546
123,Id2,36,4207
124,Id2,36,4188
125,Plp1,37,4713
126,Plp1,37,4644
127,Plp1,37,4639
128,Enpp2,37,4594
129,Pvalb,37,4510
130,Plp1,38,4717
131,Plp1,38,4634
132,Id2,38,4554
133,Plp1,39,4545
134,Plp1,40,4713
135,Plp1,40,4640
136,Enpp2,40,4550
137,Plp1,40,4288
138,Plp1,40,4276
139,Cryab,41,4700
140,Plp1,41,4628
141,Cryab,41,4483
142,Plp1,41,4418
143,Plp1,41,4357
144,3110035E14Rik,41,4219
145,Plp1,42,4638
146,Cpne5,42,4591
147,Arpp21,42,4460
148,Plp1,42,4275
149,Plp1,43,4635
150,Plp1,43,4420
151,3110035E14Rik,43,4216
152,Plp1,43,4198
153,Plp1,44,5065
154,Plp1,44,5031
155,Plp1,44,4556
156,Plp1,44,4542
157,Plp1,44,4483
158,Plp1,44,4203
159,Plp1,44,4193
160,Plp1,45,5024
161,Plp1,45,4939
162,Kctd12,45,4278
163,Cck,45,4219
164,Plp1,45,4213
165,Plp1,45,4207
166,Plp1,45,4050
167,Cpne5,46,4587
168,Plp1,46,4549
169,Plp1,46,4208
170,Cryab,47,4987
171,Plp1,47,4926
172,Plp1,47,4422
173,Plp1,47,4413
174,Enpp2,47,4188
175,Enpp2,48,5055
176,Enpp2,48,4589
177,Prkca,48,4584
178,Plp1,48,4425
179,Plp1,49,5105
180,Plp1,49,5090
181,Plp1,49,4558
182,Plp1,49,4549
183,Plp1,49,4421
184,Cplx2,49,4226
185,Plp1,49,4209
186,Plp1,49,4197
187,Npy2r,50,5099
188,Plp1,50,5035
189,Plp1,50,5031
190,Plp1,50,4911
191,Cplx2,50,4225
192,Plp1,50,4204
193,Npy2r,51,5098
194,Cadps2,51,4776
195,Plp1,51,4542
196,Plp1,51,4419
197,Plp1,51,4416
198,Plp1,51,4211
199,Plp1,52,5094
200,Plp1,52,4578
201,Plp1,52,4187
202,Cryab,53,5092
203,Cryab,53,4592
204,Enpp2,53,4539
205,Cryab,53,4411
206,Cryab,54,5030
207,Cadps2,54,4773
208,Plp1,54,4584
209,Plp1,54,4554
210,Plp1,54,4542
211,Plp1,54,4429
212,Plp1,54,4209
213,Plp1,54,4192
214,Pvalb,55,4791
215,Plp1,55,4428
216,Cryab,56,5039
217,Plp1,56,5035
218,Plp1,56,4915
219,Plp1,56,4415
220,Plp1,56,4201
221,Enpp2,56,4188
222,Plp1,57,4538
223,Plp1,57,4144
224,Plp1,58,5011
225,Prkca,58,4815
226,Plp1,58,4545
227,Plp1,58,4540
228,Cux2,58,4423
229,Plp1,58,4408
230,Cryab,58,4288
231,Rgs4,58,4213
232,Cryab,59,5117
233,Cryab,59,5105
234,Cryab,59,5031
235,Prkca,59,4816
236,Aldoc,59,4811
237,Cryab,60,5020
238,Cryab,61,5111
239,3110035E14Rik,61,4936
240,Plp1,61,4592
241,Prkca,61,4587
242,Plp1,61,4537
243,Plp1,61,4425
244,Plp1,61,4409
245,Fam19a1,61,4209
246,Plp1,62,4680
247,Prkca,62,4588
248,Plp1,62,4423
249,Plp1,63,5096
250,Plp1,63,5017
251,Enpp2,63,4853
252,Plp1,63,4151
253,Plp1,64,5004
254,Id2,64,4078
255,Plp1,65,5018
256,Plp1,65,4894
257,Plp1,65,4862
258,Plp1,65,4849
259,Pcp4,66,5203
260,Plp1,66,5106
261,Plp1,66,5101
262,Plp1,66,5097
263,Enpp2,66,4916
264,Enpp2,66,4683
265,Plp1,66,4583
266,Plp1,66,4469
267,Plp1,66,4158
268,Plp1,67,5105
269,Plp1,67,5088
270,Cryab,67,5020
271,Plp1,67,5000
272,Plp1,67,4913
273,Plp1,67,4910
274,Enpp2,67,4847
275,Cryab,67,4839
276,Plp1,67,4577
277,Enpp2,68,5013
278,Plp1,68,4589
279,Plp1,68,4419
280,Plp1,68,4150
281,Plp1,69,5096
282,Pde1a,69,5068
283,Plp1,69,5008
284,Pde1a,69,4901
285,Plp1,69,4851
286,Plp1,69,4587
287,Plp1,69,4581
288,Plp1,69,4104
289,Plp1,70,5091
290,Enpp2,70,4842
291,Aldoc,70,4819
292,Id2,70,4796
293,Enpp2,70,4118
294,Plp1,71,5095
295,Kctd12,71,5067
296,Cryab,71,5018
