x_global,y_global,fov_id,label,target,x_cell,y_cell
110,5457,0,51,Cxcl14,115.38713199999984,5448.57797
-1,4735,0,0,Plp1,,
-1,4725,0,0,Plp1,,
-1,4478,0,0,Id2,,
-1,4455,0,0,Enpp2,,
-1,4445,0,0,Plp1,,
-1,4273,0,0,Aldoc,,
0,4741,0,1,Enpp2,10.308869000000414,4727.26504
0,4517,0,10,Plp1,9.819999999999709,4516.72667
0,4484,0,5,Id2,10.737006000000292,4465.7338899999995
0,4471,0,5,Cryab,10.737006000000292,4465.7338899999995
0,4451,0,5,Plp1,10.737006000000292,4465.7338899999995
1,4743,0,1,Plp1,10.308869000000414,4727.26504
1,4730,0,1,Plp1,10.308869000000414,4727.26504
2,4564,0,3,Rgs4,9.77224600000045,4550.7266899999995
2,4453,0,5,Sulf2,10.737006000000292,4465.7338899999995
2,4445,0,5,Plp1,10.737006000000292,4465.7338899999995
2,4262,0,8,Id2,24.919372999999723,4249.73684
3,4508,0,4,Plp1,11.432246999999734,4497.6946800000005
4,4457,0,5,Enpp2,10.737006000000292,4465.7338899999995
4,4450,0,5,Cryab,10.737006000000292,4465.7338899999995
4,4253,0,8,Fam19a1,24.919372999999723,4249.73684
4,4217,0,9,Plp1,10.207218999999895,4211.20053
4,4199,0,9,Plp1,10.207218999999895,4211.20053
5,4728,0,1,Plp1,10.308869000000414,4727.26504
5,4715,0,1,Plp1,10.308869000000414,4727.26504
5,4467,0,5,Plp1,10.737006000000292,4465.7338899999995
5,4322,0,6,Rorb,10.158574000000044,4351.3520499999995
5,4294,0,7,Id2,16.51418999999987,4301.486639999999
6,4484,0,5,Cxcl14,10.737006000000292,4465.7338899999995
6,4329,0,6,Gad1,10.158574000000044,4351.3520499999995
6,4284,0,7,Id2,16.51418999999987,4301.486639999999
7,4722,0,1,Enpp2,10.308869000000414,4727.26504
7,4503,0,4,Enpp2,11.432246999999734,4497.6946800000005
7,4496,0,4,Plp1,11.432246999999734,4497.6946800000005
7,4449,0,5,Plp1,10.737006000000292,4465.7338899999995
7,4440,0,0,Plp1,,
7,4264,0,8,Id2,24.919372999999723,4249.73684
8,4719,0,1,Plp1,10.308869000000414,4727.26504
8,4460,0,5,Plp1,10.737006000000292,4465.7338899999995
8,4443,0,5,Plp1,10.737006000000292,4465.7338899999995
8,4356,0,6,Gad1,10.158574000000044,4351.3520499999995
8,4336,0,6,6330403K07Rik,10.158574000000044,4351.3520499999995
9,4728,0,1,Plp1,10.308869000000414,4727.26504
9,4456,0,5,Plp1,10.737006000000292,4465.7338899999995
9,4445,0,5,Enpp2,10.737006000000292,4465.7338899999995
9,4261,0,8,Plcxd2,24.919372999999723,4249.73684
10,4469,0,5,Plp1,10.737006000000292,4465.7338899999995
10,4352,0,6,Gad1,10.158574000000044,4351.3520499999995
11,4500,0,4,Plp1,11.432246999999734,4497.6946800000005
11,4459,0,5,Plp1,10.737006000000292,4465.7338899999995
11,4451,0,5,Enpp2,10.737006000000292,4465.7338899999995
12,4728,0,1,Plp1,10.308869000000414,4727.26504
12,4561,0,3,Slc6a1,9.77224600000045,4550.7266899999995
12,4293,0,7,Satb1,16.51418999999987,4301.486639999999
12,4285,0,7,Id2,16.51418999999987,4301.486639999999
13,4512,0,10,Plp1,9.819999999999709,4516.72667
13,4496,0,4,Plp1,11.432246999999734,4497.6946800000005
13,4265,0,8,Fos,24.919372999999723,4249.73684
14,4505,0,4,Enpp2,11.432246999999734,4497.6946800000005
15,4715,0,1,Neurod6,10.308869000000414,4727.26504
15,4591,0,0,3110035E14Rik,,
15,4336,0,6,Id2,10.158574000000044,4351.3520499999995
15,4304,0,7,Zcchc12,16.51418999999987,4301.486639999999
16,4588,0,0,3110035E14Rik,,
17,4591,0,0,3110035E14Rik,,
17,4501,0,4,Plp1,11.432246999999734,4497.6946800000005
18,4715,0,1,Plp1,10.308869000000414,4727.26504
18,4504,0,4,Plp1,11.432246999999734,4497.6946800000005
18,4321,0,0,Aldoc,,
19,4714,0,1,Plp1,10.308869000000414,4727.26504
20,4718,0,1,Plp1,10.308869000000414,4727.26504
20,4637,0,14,Plp1,33.834045999999944,4635.40741
21,4721,0,1,Plp1,10.308869000000414,4727.26504
22,4210,0,9,Id2,10.207218999999895,4211.20053
23,4257,0,8,Rprm,24.919372999999723,4249.73684
24,4728,0,13,Cryab,38.0253730000004,4729.093279999999
24,4505,0,0,Plp1,,
24,4295,0,7,Plp1,16.51418999999987,4301.486639999999
25,4643,0,14,Plp1,33.834045999999944,4635.40741
25,4426,0,0,Cryab,,
26,4635,0,14,Plp1,33.834045999999944,4635.40741
26,4508,0,0,Plp1,,
27,4716,0,13,Plp1,38.0253730000004,4729.093279999999
27,4498,0,0,Plp1,,
27,4213,0,11,Cplx2,42.63932199999999,4196.321260000001
28,4721,0,13,Kctd12,38.0253730000004,4729.093279999999
28,4507,0,0,Cryab,,
