Cell_Num	X	Y	Genenames	CellGeneCount	ClassName	Prob
0	10.308868501529052	743.7349643221203	['6330403K07Rik', 'Cryab', 'Enpp2', 'Kctd12', 'Neurod6', 'Plp1']	[0.009913578792723698, 0.9554114009000589, 1.999614989469519, 0.02051283589903031, 0.980313538634081, 11.119824361224643]	['Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.0903247874728462, 0.16410786823546983, 0.019729056342360746, 0.053813256231381855, 0.39132010130412154, 0.28070473136092283]
1	9.48721399730821	783.5679676985195	['Cryab', 'Neurod6']	[0.006233581060905327, 0.001582108203243299]	['Astro.5', 'Endo', 'Eryth.1', 'Microglia.1', 'Microglia.2', 'Vsmc', 'Zero']	[0.0011082115950560652, 0.0037403206927367717, 0.005586326091848514, 0.006936258994286517, 0.00856191795563169, 0.006437162002946289, 0.9645675084179737]
2	9.772245762711865	920.2733050847457	['3110035E14Rik', 'Enpp2', 'Id2', 'Rgs4', 'Slc6a1']	[0.0025565486960629495, 0.5039865035469903, 0.0480897845269539, 0.9769997988080859, 0.9894172576966196]	['Astro.1', 'Astro.2', 'Astro.5', 'Endo', 'Eryth.1', 'Microglia.1', 'Microglia.2', 'Vsmc', 'Zero']	[0.0014653580352196548, 0.001490766767497751, 0.0015918816683983756, 0.01645653602708406, 0.005098739961005679, 0.007124132934687537, 0.008370887241149977, 0.017460896426953275, 0.9372417043877462]
3	11.432246998284734	973.3053173241852	['Aldoc', 'Cryab', 'Cxcl14', 'Enpp2', 'Id2', 'Plp1', 'Pvalb', 'Sst']	[0.06377057020755168, 2.0634599342388373, 0.9473948985332215, 1.9782563842873586, 0.9286680540189844, 11.103137035459614, 0.08447071111490703, 0.15366065918954425]	['Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.011360736316609698, 0.17506449167211247, 0.04912497060265008, 0.08616889050462362, 0.44220557264085597, 0.2360753340976449]
4	10.737006237006238	1005.2661122661123	['Aldoc', 'Arpp21', 'Cryab', 'Cxcl14', 'Enpp2', 'Id2', 'Plp1', 'Sulf2']	[0.5242744760852562, 0.026561494780195826, 2.0859743920527305, 0.032926971054030425, 2.9806390762248034, 0.034416154238497566, 10.959894196338935, 0.9878390695573545]	['Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.005277226251484294, 0.4231865533568178, 0.041260787159825486, 0.06974535574283701, 0.2851457272424098, 0.17538434819545706]
5	10.158573596358119	1119.6479514415782	['6330403K07Rik', 'Aldoc', 'Gad1', 'Id2', 'Npy', 'Rorb']	[0.9920676694812421, 0.0039700016958830325, 2.9792664464554535, 0.9858661638401621, 2.955260995207674, 0.005568663988205875]	['Astro.3', 'Cacna2d1.Lhx6.Reln', 'Cacna2d1.Lhx6.Vwa5a', 'Cacna2d1.Ndnf.Cxcl14', 'Cacna2d1.Ndnf.Npy', 'Cacna2d1.Ndnf.Rgs10', 'Calb2.Cntnap5a.Igfbp6', 'Calb2.Cntnap5a.Rspo3', 'Calb2.Cntnap5a.Vip', 'Calb2.Cryab', 'Calb2.Vip.Gpd1', 'Calb2.Vip.Igfbp4', 'Calb2.Vip.Nos1', 'Endo', 'Microglia.1', 'Microglia.2', 'Ntng1.Rgs10', 'Pvalb.C1ql1.Cpne5', 'Pvalb.C1ql1.Npy', 'Pvalb.Tac1.Nr4a2', 'Pvalb.Tac1.Sst', 'Sst.Erbb4.Rgs10', 'Sst.Erbb4.Th', 'Sst.Npy.Mgat4c', 'Sst.Npy.Zbtb20', 'Sst.Pnoc.Pvalb', 'Vip.Crh.C1ql1', 'Vsmc', 'Zero']	[0.0023392032257684866, 0.01865671221221725, 0.003026953845782028, 0.11427167656794866, 0.015149355218397748, 0.408095753396334, 0.11026542272782792, 0.010864420438713588, 0.005570053305596559, 0.0027326344726086647, 0.003396729592051545, 0.005975851987894524, 0.0026401040789548994, 0.0021410903829684044, 0.0037511579028703377, 0.002020206159350721, 0.002255279455217351, 0.0038299431812227553, 0.055371318353256795, 0.019690794185055652, 0.021178206985983928, 0.022683224270741063, 0.012997360175989745, 0.001204513000605047, 0.0011166149687747064, 0.001094535960959608, 0.0038001325030214347, 0.0023795673135351327, 0.13532571380915911]
6	16.514190317195325	1169.5133555926545	['Aldoc', 'Gad1', 'Id2', 'Npy', 'Plp1', 'Rorb', 'Satb1', 'Zcchc12']	[0.8944724923814911, 0.0011437377561082196, 2.964675572741266, 0.001693652778398448, 0.7938734749127143, 0.8968050166005265, 0.9909436532827998, 0.994407622744742]	['Astro.1', 'Astro.2', 'Astro.3', 'Astro.4', 'Astro.5', 'Endo', 'Eryth.1', 'Eryth.2', 'Microglia.1', 'Microglia.2', 'Vsmc', 'Zero']	[0.08284660940254358, 0.1761823822329097, 0.2046618553286593, 0.16291525358936357, 0.08622864203994181, 0.021240962094469348, 0.003290994895397402, 0.001998531114381013, 0.050093417735085924, 0.012155750240782545, 0.00603952140664178, 0.19002986828031915]
7	24.919372900335947	1221.2631578947369	['Cplx2', 'Cryab', 'Fam19a1', 'Fos', 'Id2', 'Plcxd2', 'Rprm']	[0.016093194924427436, 0.9478499324577621, 0.9131279151402873, 0.9495273426220474, 1.682691478812094, 0.9424208568156417, 0.9922694088684637]	['Astro.1', 'Astro.2', 'Astro.3', 'Astro.4', 'Astro.5', 'Endo', 'Eryth.1', 'Eryth.2', 'Microglia.1', 'Microglia.2', 'Vsmc', 'Zero']	[0.006244804824555064, 0.010923860628769379, 0.008800605334732148, 0.005465216526019674, 0.007682112429791447, 0.05007940954319858, 0.003943457991714911, 0.0010706142538754709, 0.046416575902809, 0.021140077612583526, 0.0226118797104944, 0.8143183748765574]
8	10.207219251336898	1259.7994652406417	['3110035E14Rik', 'Cplx2', 'Id2', 'Plp1']	[0.0015550808057155597, 0.9517962411295999, 0.997835553492793, 1.986553781274604]	['Astro.1', 'Astro.2', 'Astro.3', 'Astro.4', 'Astro.5', 'Endo', 'Eryth.1', 'Eryth.2', 'Microglia.1', 'Microglia.2', 'Oligo.5', 'PC.CA1.1', 'Vsmc', 'Zero']	[0.01658679433754224, 0.007131544000808505, 0.0053505152741786495, 0.009631651565949997, 0.027315899968187316, 0.035151737510801605, 0.07786800461015052, 0.06544190271844018, 0.05828940456939691, 0.03453498898007076, 0.0029439092996455347, 0.0017278108009069035, 0.0270560842671213, 0.6266232451933852]
9	9.82	954.2733333333333	['Cryab', 'Enpp2', 'Plp1', 'Pvalb', 'Sst']	[0.06126853989695079, 0.01834255433159003, 1.1575671653340256, 0.09222829315778054, 0.017442188720510617]	['Astro.1', 'Astro.2', 'Astro.3', 'Astro.4', 'Astro.5', 'Endo', 'Eryth.1', 'Eryth.2', 'Microglia.1', 'Microglia.2', 'Oligo.5', 'PC.CA1.1', 'Vsmc', 'Zero']	[0.003734377176599763, 0.0025552447121665284, 0.0012078183336648872, 0.0019936362032269405, 0.006437821207133821, 0.011482043684435624, 0.02616306820226999, 0.017067440193752417, 0.016507675888355673, 0.016217950282451887, 0.0012499665840328624, 0.0010034041328483782, 0.014857322911127782, 0.8751585438615971]
